Source,Target,Type,Weight,edge_type,layer,source_label,target_label
8779,11339,Undirected,1.0,inter,C3-P3<->FP2-F4,C3-P3_t1099,FP2-F4_t1099
9968,21488,Undirected,1.0,inter,P3-O1<->FZ-CZ,P3-O1_t1008,FZ-CZ_t1008
3357,19997,Undirected,1.0,inter,T7-P7<->P8-O2,T7-P7_t797,P8-O2_t797
12556,29196,Undirected,1.0,inter,F4-C4<->T8-P8-1,F4-C4_t1036,T8-P8-1_t1036
4815,26575,Undirected,1.0,inter,P7-O1<->FT9-FT10,P7-O1_t975,FT9-FT10_t975
16495,17775,Undirected,1.0,inter,FP2-F8<->F8-T8,FP2-F8_t1135,F8-T8_t1135
4730,23930,Undirected,1.0,inter,P7-O1<->P7-T7,P7-O1_t890,P7-T7_t890
11591,16711,Undirected,1.0,inter,F4-C4<->F8-T8,F4-C4_t71,F8-T8_t71
4435,13395,Undirected,1.0,inter,P7-O1<->C4-P4,P7-O1_t595,C4-P4_t595
5413,6693,Undirected,1.0,inter,FP1-F3<->F3-C3,FP1-F3_t293,F3-C3_t293
3498,16298,Undirected,1.0,inter,T7-P7<->FP2-F8,T7-P7_t938,FP2-F8_t938
11317,22837,Undirected,1.0,inter,FP2-F4<->CZ-PZ,FP2-F4_t1077,CZ-PZ_t1077
21929,28329,Undirected,1.0,inter,CZ-PZ<->T8-P8-1,CZ-PZ_t169,T8-P8-1_t169
21099,21104,Undirected,1.0,intra,FZ-CZ,FZ-CZ_t619,FZ-CZ_t624
9512,10792,Undirected,1.0,inter,P3-O1<->FP2-F4,P3-O1_t552,FP2-F4_t552
6113,18913,Undirected,1.0,inter,FP1-F3<->T8-P8-0,FP1-F3_t993,T8-P8-0_t993
14823,26343,Undirected,1.0,inter,P4-O2<->FT9-FT10,P4-O2_t743,FT9-FT10_t743
6277,11397,Undirected,1.0,inter,FP1-F3<->FP2-F4,FP1-F3_t1157,FP2-F4_t1157
19315,26995,Undirected,1.0,inter,P8-O2<->FT10-T8,P8-O2_t115,FT10-T8_t115
3730,24210,Undirected,1.0,inter,T7-P7<->P7-T7,T7-P7_t1170,P7-T7_t1170
8634,16314,Undirected,1.0,inter,C3-P3<->FP2-F8,C3-P3_t954,FP2-F8_t954
2510,6350,Undirected,1.0,inter,F7-T7<->FP1-F3,F7-T7_t1230,FP1-F3_t1230
7191,23831,Undirected,1.0,inter,F3-C3<->P7-T7,F3-C3_t791,P7-T7_t791
16870,24550,Undirected,1.0,inter,F8-T8<->T7-FT9,F8-T8_t230,T7-FT9_t230
851,5971,Undirected,1.0,inter,FP1-F7<->FP1-F3,FP1-F7_t851,FP1-F3_t851
452,23492,Undirected,1.0,inter,FP1-F7<->P7-T7,FP1-F7_t452,P7-T7_t452
15411,23091,Undirected,1.0,inter,FP2-F8<->P7-T7,FP2-F8_t51,P7-T7_t51
11919,19599,Undirected,1.0,inter,F4-C4<->P8-O2,F4-C4_t399,P8-O2_t399
8066,28546,Undirected,1.0,inter,C3-P3<->T8-P8-1,C3-P3_t386,T8-P8-1_t386
10183,14023,Undirected,1.0,inter,P3-O1<->C4-P4,P3-O1_t1223,C4-P4_t1223
7466,29226,Undirected,1.0,inter,F3-C3<->T8-P8-1,F3-C3_t1066,T8-P8-1_t1066
5068,21708,Undirected,1.0,inter,P7-O1<->FZ-CZ,P7-O1_t1228,FZ-CZ_t1228
8440,23800,Undirected,1.0,inter,C3-P3<->P7-T7,C3-P3_t760,P7-T7_t760
3823,25583,Undirected,1.0,inter,T7-P7<->T7-FT9,T7-P7_t1263,T7-FT9_t1263
2508,28108,Undirected,1.0,inter,F7-T7<->FT10-T8,F7-T7_t1228,FT10-T8_t1228
5415,10535,Undirected,1.0,inter,FP1-F3<->FP2-F4,FP1-F3_t295,FP2-F4_t295
9626,22426,Undirected,1.0,inter,P3-O1<->CZ-PZ,P3-O1_t666,CZ-PZ_t666
8661,26581,Undirected,1.0,inter,C3-P3<->FT9-FT10,C3-P3_t981,FT9-FT10_t981
6449,6453,Undirected,1.0,intra,F3-C3,F3-C3_t49,F3-C3_t53
11315,13875,Undirected,1.0,inter,FP2-F4<->C4-P4,FP2-F4_t1075,C4-P4_t1075
6889,28649,Undirected,1.0,inter,F3-C3<->T8-P8-1,F3-C3_t489,T8-P8-1_t489
8359,27559,Undirected,1.0,inter,C3-P3<->FT10-T8,C3-P3_t679,FT10-T8_t679
7503,16463,Undirected,1.0,inter,F3-C3<->FP2-F8,F3-C3_t1103,FP2-F8_t1103
1828,4388,Undirected,1.0,inter,F7-T7<->P7-O1,F7-T7_t548,P7-O1_t548
15480,21880,Undirected,1.0,inter,FP2-F8<->CZ-PZ,FP2-F8_t120,CZ-PZ_t120
20298,27978,Undirected,1.0,inter,P8-O2<->FT10-T8,P8-O2_t1098,FT10-T8_t1098
14897,16177,Undirected,1.0,inter,P4-O2<->FP2-F8,P4-O2_t817,FP2-F8_t817
1935,14735,Undirected,1.0,inter,F7-T7<->P4-O2,F7-T7_t655,P4-O2_t655
26540,29100,Undirected,1.0,inter,FT9-FT10<->T8-P8-1,FT9-FT10_t940,T8-P8-1_t940
687,22447,Undirected,1.0,inter,FP1-F7<->CZ-PZ,FP1-F7_t687,CZ-PZ_t687
11277,24077,Undirected,1.0,inter,FP2-F4<->P7-T7,FP2-F4_t1037,P7-T7_t1037
6006,18806,Undirected,1.0,inter,FP1-F3<->T8-P8-0,FP1-F3_t886,T8-P8-0_t886
7899,16859,Undirected,1.0,inter,C3-P3<->F8-T8,C3-P3_t219,F8-T8_t219
10792,17192,Undirected,1.0,inter,FP2-F4<->F8-T8,FP2-F4_t552,F8-T8_t552
10553,18233,Undirected,1.0,inter,FP2-F4<->T8-P8-0,FP2-F4_t313,T8-P8-0_t313
7237,7266,Undirected,1.0,intra,F3-C3,F3-C3_t837,F3-C3_t866
16832,18112,Undirected,1.0,inter,F8-T8<->T8-P8-0,F8-T8_t192,T8-P8-0_t192
3692,4972,Undirected,1.0,inter,T7-P7<->P7-O1,T7-P7_t1132,P7-O1_t1132
5825,21185,Undirected,1.0,inter,FP1-F3<->FZ-CZ,FP1-F3_t705,FZ-CZ_t705
10085,15205,Undirected,1.0,inter,P3-O1<->P4-O2,P3-O1_t1125,P4-O2_t1125
3599,18959,Undirected,1.0,inter,T7-P7<->T8-P8-0,T7-P7_t1039,T8-P8-0_t1039
14131,19251,Undirected,1.0,inter,P4-O2<->P8-O2,P4-O2_t51,P8-O2_t51
14849,22529,Undirected,1.0,inter,P4-O2<->CZ-PZ,P4-O2_t769,CZ-PZ_t769
2749,5309,Undirected,1.0,inter,T7-P7<->FP1-F3,T7-P7_t189,FP1-F3_t189
5814,18614,Undirected,1.0,inter,FP1-F3<->T8-P8-0,FP1-F3_t694,T8-P8-0_t694
826,14906,Undirected,1.0,inter,FP1-F7<->P4-O2,FP1-F7_t826,P4-O2_t826
24856,24860,Undirected,1.0,intra,T7-FT9,T7-FT9_t536,T7-FT9_t540
5047,11447,Undirected,1.0,inter,P7-O1<->FP2-F4,P7-O1_t1207,FP2-F4_t1207
23597,23601,Undirected,1.0,intra,P7-T7,P7-T7_t557,P7-T7_t561
12125,18525,Undirected,1.0,inter,F4-C4<->T8-P8-0,F4-C4_t605,T8-P8-0_t605
10247,28167,Undirected,1.0,inter,FP2-F4<->T8-P8-1,FP2-F4_t7,T8-P8-1_t7
3717,11397,Undirected,1.0,inter,T7-P7<->FP2-F4,T7-P7_t1157,FP2-F4_t1157
4013,25773,Undirected,1.0,inter,P7-O1<->FT9-FT10,P7-O1_t173,FT9-FT10_t173
19549,22109,Undirected,1.0,inter,P8-O2<->CZ-PZ,P8-O2_t349,CZ-PZ_t349
12571,27931,Undirected,1.0,inter,F4-C4<->FT10-T8,F4-C4_t1051,FT10-T8_t1051
2600,24360,Undirected,1.0,inter,T7-P7<->T7-FT9,T7-P7_t40,T7-FT9_t40
111,23151,Undirected,1.0,inter,FP1-F7<->P7-T7,FP1-F7_t111,P7-T7_t111
9626,9627,Undirected,1.0,intra,P3-O1,P3-O1_t666,P3-O1_t667
6366,15326,Undirected,1.0,inter,FP1-F3<->P4-O2,FP1-F3_t1246,P4-O2_t1246
2918,18278,Undirected,1.0,inter,T7-P7<->T8-P8-0,T7-P7_t358,T8-P8-0_t358
9815,29015,Undirected,1.0,inter,P3-O1<->T8-P8-1,P3-O1_t855,T8-P8-1_t855
20548,20549,Undirected,1.0,intra,FZ-CZ,FZ-CZ_t68,FZ-CZ_t69
17687,25367,Undirected,1.0,inter,F8-T8<->T7-FT9,F8-T8_t1047,T7-FT9_t1047
7625,26825,Undirected,1.0,inter,F3-C3<->FT9-FT10,F3-C3_t1225,FT9-FT10_t1225
26845,28125,Undirected,1.0,inter,FT9-FT10<->FT10-T8,FT9-FT10_t1245,FT10-T8_t1245
1711,20911,Undirected,1.0,inter,F7-T7<->FZ-CZ,F7-T7_t431,FZ-CZ_t431
10080,11360,Undirected,1.0,inter,P3-O1<->FP2-F4,P3-O1_t1120,FP2-F4_t1120
3102,3103,Undirected,1.0,intra,T7-P7,T7-P7_t542,T7-P7_t543
18625,25025,Undirected,1.0,inter,T8-P8-0<->T7-FT9,T8-P8-0_t705,T7-FT9_t705
21377,29057,Undirected,1.0,inter,FZ-CZ<->T8-P8-1,FZ-CZ_t897,T8-P8-1_t897
4944,27984,Undirected,1.0,inter,P7-O1<->FT10-T8,P7-O1_t1104,FT10-T8_t1104
13201,15761,Undirected,1.0,inter,C4-P4<->FP2-F8,C4-P4_t401,FP2-F8_t401
8257,19777,Undirected,1.0,inter,C3-P3<->P8-O2,C3-P3_t577,P8-O2_t577
7310,29070,Undirected,1.0,inter,F3-C3<->T8-P8-1,F3-C3_t910,T8-P8-1_t910
17604,26564,Undirected,1.0,inter,F8-T8<->FT9-FT10,F8-T8_t964,FT9-FT10_t964
20428,22988,Undirected,1.0,inter,P8-O2<->CZ-PZ,P8-O2_t1228,CZ-PZ_t1228
11401,28041,Undirected,1.0,inter,FP2-F4<->FT10-T8,FP2-F4_t1161,FT10-T8_t1161
3484,12444,Undirected,1.0,inter,T7-P7<->F4-C4,T7-P7_t924,F4-C4_t924
13379,27459,Undirected,1.0,inter,C4-P4<->FT10-T8,C4-P4_t579,FT10-T8_t579
3579,21499,Undirected,1.0,inter,T7-P7<->FZ-CZ,T7-P7_t1019,FZ-CZ_t1019
10849,23649,Undirected,1.0,inter,FP2-F4<->P7-T7,FP2-F4_t609,P7-T7_t609
6064,26544,Undirected,1.0,inter,FP1-F3<->FT9-FT10,FP1-F3_t944,FT9-FT10_t944
128,25728,Undirected,1.0,inter,FP1-F7<->FT9-FT10,FP1-F7_t128,FT9-FT10_t128
9515,10104,Undirected,1.0,intra,P3-O1,P3-O1_t555,P3-O1_t1144
13823,26623,Undirected,1.0,inter,C4-P4<->FT9-FT10,C4-P4_t1023,FT9-FT10_t1023
8201,14601,Undirected,1.0,inter,C3-P3<->P4-O2,C3-P3_t521,P4-O2_t521
631,17271,Undirected,1.0,inter,FP1-F7<->F8-T8,FP1-F7_t631,F8-T8_t631
869,20069,Undirected,1.0,inter,FP1-F7<->P8-O2,FP1-F7_t869,P8-O2_t869
7689,23049,Undirected,1.0,inter,C3-P3<->P7-T7,C3-P3_t9,P7-T7_t9
6880,8160,Undirected,1.0,inter,F3-C3<->C3-P3,F3-C3_t480,C3-P3_t480
4577,10977,Undirected,1.0,inter,P7-O1<->FP2-F4,P7-O1_t737,FP2-F4_t737
9492,12052,Undirected,1.0,inter,P3-O1<->F4-C4,P3-O1_t532,F4-C4_t532
9494,14614,Undirected,1.0,inter,P3-O1<->P4-O2,P3-O1_t534,P4-O2_t534
17665,22785,Undirected,1.0,inter,F8-T8<->CZ-PZ,F8-T8_t1025,CZ-PZ_t1025
22191,27311,Undirected,1.0,inter,CZ-PZ<->FT10-T8,CZ-PZ_t431,FT10-T8_t431
15335,17895,Undirected,1.0,inter,P4-O2<->F8-T8,P4-O2_t1255,F8-T8_t1255
14372,28452,Undirected,1.0,inter,P4-O2<->T8-P8-1,P4-O2_t292,T8-P8-1_t292
8958,10238,Undirected,1.0,inter,C3-P3<->P3-O1,C3-P3_t1278,P3-O1_t1278
26017,28577,Undirected,1.0,inter,FT9-FT10<->T8-P8-1,FT9-FT10_t417,T8-P8-1_t417
21146,24986,Undirected,1.0,inter,FZ-CZ<->T7-FT9,FZ-CZ_t666,T7-FT9_t666
4450,13410,Undirected,1.0,inter,P7-O1<->C4-P4,P7-O1_t610,C4-P4_t610
2596,26916,Undirected,1.0,inter,T7-P7<->FT10-T8,T7-P7_t36,FT10-T8_t36
15413,20533,Undirected,1.0,inter,FP2-F8<->FZ-CZ,FP2-F8_t53,FZ-CZ_t53
13375,19775,Undirected,1.0,inter,C4-P4<->P8-O2,C4-P4_t575,P8-O2_t575
9131,11691,Undirected,1.0,inter,P3-O1<->F4-C4,P3-O1_t171,F4-C4_t171
4165,27205,Undirected,1.0,inter,P7-O1<->FT10-T8,P7-O1_t325,FT10-T8_t325
21133,26253,Undirected,1.0,inter,FZ-CZ<->FT9-FT10,FZ-CZ_t653,FT9-FT10_t653
5143,25623,Undirected,1.0,inter,FP1-F3<->FT9-FT10,FP1-F3_t23,FT9-FT10_t23
11808,18208,Undirected,1.0,inter,F4-C4<->T8-P8-0,F4-C4_t288,T8-P8-0_t288
3765,25525,Undirected,1.0,inter,T7-P7<->T7-FT9,T7-P7_t1205,T7-FT9_t1205
9692,26332,Undirected,1.0,inter,P3-O1<->FT9-FT10,P3-O1_t732,FT9-FT10_t732
4701,7261,Undirected,1.0,inter,P7-O1<->F3-C3,P7-O1_t861,F3-C3_t861
8380,18620,Undirected,1.0,inter,C3-P3<->T8-P8-0,C3-P3_t700,T8-P8-0_t700
19656,28616,Undirected,1.0,inter,P8-O2<->T8-P8-1,P8-O2_t456,T8-P8-1_t456
17901,17912,Undirected,1.0,intra,F8-T8,F8-T8_t1261,F8-T8_t1272
26698,26699,Undirected,1.0,intra,FT9-FT10,FT9-FT10_t1098,FT9-FT10_t1099
14936,20056,Undirected,1.0,inter,P4-O2<->P8-O2,P4-O2_t856,P8-O2_t856
20197,29157,Undirected,1.0,inter,P8-O2<->T8-P8-1,P8-O2_t997,T8-P8-1_t997
5665,21025,Undirected,1.0,inter,FP1-F3<->FZ-CZ,FP1-F3_t545,FZ-CZ_t545
13353,13373,Undirected,1.0,intra,C4-P4,C4-P4_t553,C4-P4_t573
8592,25232,Undirected,1.0,inter,C3-P3<->T7-FT9,C3-P3_t912,T7-FT9_t912
957,25277,Undirected,1.0,inter,FP1-F7<->T7-FT9,FP1-F7_t957,T7-FT9_t957
9566,27486,Undirected,1.0,inter,P3-O1<->FT10-T8,P3-O1_t606,FT10-T8_t606
6576,11696,Undirected,1.0,inter,F3-C3<->F4-C4,F3-C3_t176,F4-C4_t176
5147,26907,Undirected,1.0,inter,FP1-F3<->FT10-T8,FP1-F3_t27,FT10-T8_t27
351,10591,Undirected,1.0,inter,FP1-F7<->FP2-F4,FP1-F7_t351,FP2-F4_t351
1286,3846,Undirected,1.0,inter,F7-T7<->P7-O1,F7-T7_t6,P7-O1_t6
11808,24608,Undirected,1.0,inter,F4-C4<->T7-FT9,F4-C4_t288,T7-FT9_t288
18803,26483,Undirected,1.0,inter,T8-P8-0<->FT9-FT10,T8-P8-0_t883,FT9-FT10_t883
7145,22505,Undirected,1.0,inter,F3-C3<->CZ-PZ,F3-C3_t745,CZ-PZ_t745
7785,12905,Undirected,1.0,inter,C3-P3<->C4-P4,C3-P3_t105,C4-P4_t105
3395,14915,Undirected,1.0,inter,T7-P7<->P4-O2,T7-P7_t835,P4-O2_t835
12429,22669,Undirected,1.0,inter,F4-C4<->CZ-PZ,F4-C4_t909,CZ-PZ_t909
12533,27893,Undirected,1.0,inter,F4-C4<->FT10-T8,F4-C4_t1013,FT10-T8_t1013
15733,22133,Undirected,1.0,inter,FP2-F8<->CZ-PZ,FP2-F8_t373,CZ-PZ_t373
4009,14249,Undirected,1.0,inter,P7-O1<->P4-O2,P7-O1_t169,P4-O2_t169
13986,26786,Undirected,1.0,inter,C4-P4<->FT9-FT10,C4-P4_t1186,FT9-FT10_t1186
1915,23675,Undirected,1.0,inter,F7-T7<->P7-T7,F7-T7_t635,P7-T7_t635
25459,28019,Undirected,1.0,inter,T7-FT9<->FT10-T8,T7-FT9_t1139,FT10-T8_t1139
20248,21528,Undirected,1.0,inter,P8-O2<->FZ-CZ,P8-O2_t1048,FZ-CZ_t1048
6038,29078,Undirected,1.0,inter,FP1-F3<->T8-P8-1,FP1-F3_t918,T8-P8-1_t918
6598,9158,Undirected,1.0,inter,F3-C3<->P3-O1,F3-C3_t198,P3-O1_t198
16717,16721,Undirected,1.0,intra,F8-T8,F8-T8_t77,F8-T8_t81
8739,17699,Undirected,1.0,inter,C3-P3<->F8-T8,C3-P3_t1059,F8-T8_t1059
15085,29165,Undirected,1.0,inter,P4-O2<->T8-P8-1,P4-O2_t1005,T8-P8-1_t1005
1631,25951,Undirected,1.0,inter,F7-T7<->FT9-FT10,F7-T7_t351,FT9-FT10_t351
11451,21691,Undirected,1.0,inter,FP2-F4<->FZ-CZ,FP2-F4_t1211,FZ-CZ_t1211
16956,28476,Undirected,1.0,inter,F8-T8<->T8-P8-1,F8-T8_t316,T8-P8-1_t316
3083,10763,Undirected,1.0,inter,T7-P7<->FP2-F4,T7-P7_t523,FP2-F4_t523
11134,27774,Undirected,1.0,inter,FP2-F4<->FT10-T8,FP2-F4_t894,FT10-T8_t894
24927,28767,Undirected,1.0,inter,T7-FT9<->T8-P8-1,T7-FT9_t607,T8-P8-1_t607
5192,16712,Undirected,1.0,inter,FP1-F3<->F8-T8,FP1-F3_t72,F8-T8_t72
21672,29352,Undirected,1.0,inter,FZ-CZ<->T8-P8-1,FZ-CZ_t1192,T8-P8-1_t1192
5769,23689,Undirected,1.0,inter,FP1-F3<->P7-T7,FP1-F3_t649,P7-T7_t649
1773,1776,Undirected,1.0,intra,F7-T7,F7-T7_t493,F7-T7_t496
17974,26934,Undirected,1.0,inter,T8-P8-0<->FT10-T8,T8-P8-0_t54,FT10-T8_t54
14302,14303,Undirected,1.0,intra,P4-O2,P4-O2_t222,P4-O2_t223
25039,26319,Undirected,1.0,inter,T7-FT9<->FT9-FT10,T7-FT9_t719,FT9-FT10_t719
441,1721,Undirected,1.0,inter,FP1-F7<->F7-T7,FP1-F7_t441,F7-T7_t441
26858,26864,Undirected,1.0,intra,FT9-FT10,FT9-FT10_t1258,FT9-FT10_t1264
9117,9118,Undirected,1.0,intra,P3-O1,P3-O1_t157,P3-O1_t158
8878,26798,Undirected,1.0,inter,C3-P3<->FT9-FT10,C3-P3_t1198,FT9-FT10_t1198
11375,13935,Undirected,1.0,inter,FP2-F4<->C4-P4,FP2-F4_t1135,C4-P4_t1135
8323,22403,Undirected,1.0,inter,C3-P3<->CZ-PZ,C3-P3_t643,CZ-PZ_t643
817,28977,Undirected,1.0,inter,FP1-F7<->T8-P8-1,FP1-F7_t817,T8-P8-1_t817
6978,10818,Undirected,1.0,inter,F3-C3<->FP2-F4,F3-C3_t578,FP2-F4_t578
1183,28063,Undirected,1.0,inter,FP1-F7<->FT10-T8,FP1-F7_t1183,FT10-T8_t1183
20129,20130,Undirected,1.0,intra,P8-O2,P8-O2_t929,P8-O2_t930
8150,15830,Undirected,1.0,inter,C3-P3<->FP2-F8,C3-P3_t470,FP2-F8_t470
2096,25136,Undirected,1.0,inter,F7-T7<->T7-FT9,F7-T7_t816,T7-FT9_t816
30,8990,Undirected,1.0,inter,FP1-F7<->P3-O1,FP1-F7_t30,P3-O1_t30
1962,10922,Undirected,1.0,inter,F7-T7<->FP2-F4,F7-T7_t682,FP2-F4_t682
9718,21238,Undirected,1.0,inter,P3-O1<->FZ-CZ,P3-O1_t758,FZ-CZ_t758
5022,24222,Undirected,1.0,inter,P7-O1<->P7-T7,P7-O1_t1182,P7-T7_t1182
21198,21200,Undirected,1.0,intra,FZ-CZ,FZ-CZ_t718,FZ-CZ_t720
5333,19413,Undirected,1.0,inter,FP1-F3<->P8-O2,FP1-F3_t213,P8-O2_t213
5740,10860,Undirected,1.0,inter,FP1-F3<->FP2-F4,FP1-F3_t620,FP2-F4_t620
12615,19015,Undirected,1.0,inter,F4-C4<->T8-P8-0,F4-C4_t1095,T8-P8-0_t1095
712,12232,Undirected,1.0,inter,FP1-F7<->F4-C4,FP1-F7_t712,F4-C4_t712
6101,27861,Undirected,1.0,inter,FP1-F3<->FT10-T8,FP1-F3_t981,FT10-T8_t981
2307,2308,Undirected,1.0,intra,F7-T7,F7-T7_t1027,F7-T7_t1028
4254,9374,Undirected,1.0,inter,P7-O1<->P3-O1,P7-O1_t414,P3-O1_t414
2847,5407,Undirected,1.0,inter,T7-P7<->FP1-F3,T7-P7_t287,FP1-F3_t287
13708,29068,Undirected,1.0,inter,C4-P4<->T8-P8-1,C4-P4_t908,T8-P8-1_t908
25827,28387,Undirected,1.0,inter,FT9-FT10<->T8-P8-1,FT9-FT10_t227,T8-P8-1_t227
4415,4425,Undirected,1.0,intra,P7-O1,P7-O1_t575,P7-O1_t585
12345,27705,Undirected,1.0,inter,F4-C4<->FT10-T8,F4-C4_t825,FT10-T8_t825
588,1868,Undirected,1.0,inter,FP1-F7<->F7-T7,FP1-F7_t588,F7-T7_t588
18499,26179,Undirected,1.0,inter,T8-P8-0<->FT9-FT10,T8-P8-0_t579,FT9-FT10_t579
1020,26620,Undirected,1.0,inter,FP1-F7<->FT9-FT10,FP1-F7_t1020,FT9-FT10_t1020
252,254,Undirected,1.0,intra,FP1-F7,FP1-F7_t252,FP1-F7_t254
159,28319,Undirected,1.0,inter,FP1-F7<->T8-P8-1,FP1-F7_t159,T8-P8-1_t159
1807,3087,Undirected,1.0,inter,F7-T7<->T7-P7,F7-T7_t527,T7-P7_t527
7997,7998,Undirected,1.0,intra,C3-P3,C3-P3_t317,C3-P3_t318
391,22151,Undirected,1.0,inter,FP1-F7<->CZ-PZ,FP1-F7_t391,CZ-PZ_t391
12184,27544,Undirected,1.0,inter,F4-C4<->FT10-T8,F4-C4_t664,FT10-T8_t664
9390,13230,Undirected,1.0,inter,P3-O1<->C4-P4,P3-O1_t430,C4-P4_t430
