Id,Label,electrode,time_idx,time_s
38,FP1-F7_t38,FP1-F7,38,2996.1484375
39,FP1-F7_t39,FP1-F7,39,2996.15234375
40,FP1-F7_t40,FP1-F7,40,2996.15625
41,FP1-F7_t41,FP1-F7,41,2996.16015625
42,FP1-F7_t42,FP1-F7,42,2996.1640625
43,FP1-F7_t43,FP1-F7,43,2996.16796875
44,FP1-F7_t44,FP1-F7,44,2996.171875
45,FP1-F7_t45,FP1-F7,45,2996.17578125
46,FP1-F7_t46,FP1-F7,46,2996.1796875
47,FP1-F7_t47,FP1-F7,47,2996.18359375
48,FP1-F7_t48,FP1-F7,48,2996.1875
49,FP1-F7_t49,FP1-F7,49,2996.19140625
50,FP1-F7_t50,FP1-F7,50,2996.1953125
51,FP1-F7_t51,FP1-F7,51,2996.19921875
52,FP1-F7_t52,FP1-F7,52,2996.203125
53,FP1-F7_t53,FP1-F7,53,2996.20703125
54,FP1-F7_t54,FP1-F7,54,2996.2109375
55,FP1-F7_t55,FP1-F7,55,2996.21484375
56,FP1-F7_t56,FP1-F7,56,2996.21875
57,FP1-F7_t57,FP1-F7,57,2996.22265625
58,FP1-F7_t58,FP1-F7,58,2996.2265625
59,FP1-F7_t59,FP1-F7,59,2996.23046875
60,FP1-F7_t60,FP1-F7,60,2996.234375
61,FP1-F7_t61,FP1-F7,61,2996.23828125
62,FP1-F7_t62,FP1-F7,62,2996.2421875
63,FP1-F7_t63,FP1-F7,63,2996.24609375
64,FP1-F7_t64,FP1-F7,64,2996.25
65,FP1-F7_t65,FP1-F7,65,2996.25390625
66,FP1-F7_t66,FP1-F7,66,2996.2578125
67,FP1-F7_t67,FP1-F7,67,2996.26171875
68,FP1-F7_t68,FP1-F7,68,2996.265625
69,FP1-F7_t69,FP1-F7,69,2996.26953125
70,FP1-F7_t70,FP1-F7,70,2996.2734375
71,FP1-F7_t71,FP1-F7,71,2996.27734375
72,FP1-F7_t72,FP1-F7,72,2996.28125
73,FP1-F7_t73,FP1-F7,73,2996.28515625
74,FP1-F7_t74,FP1-F7,74,2996.2890625
75,FP1-F7_t75,FP1-F7,75,2996.29296875
76,FP1-F7_t76,FP1-F7,76,2996.296875
77,FP1-F7_t77,FP1-F7,77,2996.30078125
78,FP1-F7_t78,FP1-F7,78,2996.3046875
79,FP1-F7_t79,FP1-F7,79,2996.30859375
80,FP1-F7_t80,FP1-F7,80,2996.3125
81,FP1-F7_t81,FP1-F7,81,2996.31640625
82,FP1-F7_t82,FP1-F7,82,2996.3203125
83,FP1-F7_t83,FP1-F7,83,2996.32421875
84,FP1-F7_t84,FP1-F7,84,2996.328125
85,FP1-F7_t85,FP1-F7,85,2996.33203125
86,FP1-F7_t86,FP1-F7,86,2996.3359375
87,FP1-F7_t87,FP1-F7,87,2996.33984375
88,FP1-F7_t88,FP1-F7,88,2996.34375
89,FP1-F7_t89,FP1-F7,89,2996.34765625
90,FP1-F7_t90,FP1-F7,90,2996.3515625
91,FP1-F7_t91,FP1-F7,91,2996.35546875
92,FP1-F7_t92,FP1-F7,92,2996.359375
93,FP1-F7_t93,FP1-F7,93,2996.36328125
94,FP1-F7_t94,FP1-F7,94,2996.3671875
95,FP1-F7_t95,FP1-F7,95,2996.37109375
96,FP1-F7_t96,FP1-F7,96,2996.375
97,FP1-F7_t97,FP1-F7,97,2996.37890625
98,FP1-F7_t98,FP1-F7,98,2996.3828125
99,FP1-F7_t99,FP1-F7,99,2996.38671875
100,FP1-F7_t100,FP1-F7,100,2996.390625
101,FP1-F7_t101,FP1-F7,101,2996.39453125
102,FP1-F7_t102,FP1-F7,102,2996.3984375
103,FP1-F7_t103,FP1-F7,103,2996.40234375
104,FP1-F7_t104,FP1-F7,104,2996.40625
105,FP1-F7_t105,FP1-F7,105,2996.41015625
106,FP1-F7_t106,FP1-F7,106,2996.4140625
107,FP1-F7_t107,FP1-F7,107,2996.41796875
108,FP1-F7_t108,FP1-F7,108,2996.421875
109,FP1-F7_t109,FP1-F7,109,2996.42578125
110,FP1-F7_t110,FP1-F7,110,2996.4296875
111,FP1-F7_t111,FP1-F7,111,2996.43359375
112,FP1-F7_t112,FP1-F7,112,2996.4375
113,FP1-F7_t113,FP1-F7,113,2996.44140625
114,FP1-F7_t114,FP1-F7,114,2996.4453125
115,FP1-F7_t115,FP1-F7,115,2996.44921875
116,FP1-F7_t116,FP1-F7,116,2996.453125
117,FP1-F7_t117,FP1-F7,117,2996.45703125
118,FP1-F7_t118,FP1-F7,118,2996.4609375
119,FP1-F7_t119,FP1-F7,119,2996.46484375
120,FP1-F7_t120,FP1-F7,120,2996.46875
121,FP1-F7_t121,FP1-F7,121,2996.47265625
122,FP1-F7_t122,FP1-F7,122,2996.4765625
123,FP1-F7_t123,FP1-F7,123,2996.48046875
124,FP1-F7_t124,FP1-F7,124,2996.484375
125,FP1-F7_t125,FP1-F7,125,2996.48828125
126,FP1-F7_t126,FP1-F7,126,2996.4921875
127,FP1-F7_t127,FP1-F7,127,2996.49609375
128,FP1-F7_t128,FP1-F7,128,2996.5
129,FP1-F7_t129,FP1-F7,129,2996.50390625
130,FP1-F7_t130,FP1-F7,130,2996.5078125
131,FP1-F7_t131,FP1-F7,131,2996.51171875
132,FP1-F7_t132,FP1-F7,132,2996.515625
133,FP1-F7_t133,FP1-F7,133,2996.51953125
134,FP1-F7_t134,FP1-F7,134,2996.5234375
135,FP1-F7_t135,FP1-F7,135,2996.52734375
136,FP1-F7_t136,FP1-F7,136,2996.53125
137,FP1-F7_t137,FP1-F7,137,2996.53515625
138,FP1-F7_t138,FP1-F7,138,2996.5390625
139,FP1-F7_t139,FP1-F7,139,2996.54296875
140,FP1-F7_t140,FP1-F7,140,2996.546875
141,FP1-F7_t141,FP1-F7,141,2996.55078125
142,FP1-F7_t142,FP1-F7,142,2996.5546875
143,FP1-F7_t143,FP1-F7,143,2996.55859375
144,FP1-F7_t144,FP1-F7,144,2996.5625
145,FP1-F7_t145,FP1-F7,145,2996.56640625
146,FP1-F7_t146,FP1-F7,146,2996.5703125
147,FP1-F7_t147,FP1-F7,147,2996.57421875
148,FP1-F7_t148,FP1-F7,148,2996.578125
149,FP1-F7_t149,FP1-F7,149,2996.58203125
150,FP1-F7_t150,FP1-F7,150,2996.5859375
151,FP1-F7_t151,FP1-F7,151,2996.58984375
152,FP1-F7_t152,FP1-F7,152,2996.59375
153,FP1-F7_t153,FP1-F7,153,2996.59765625
154,FP1-F7_t154,FP1-F7,154,2996.6015625
155,FP1-F7_t155,FP1-F7,155,2996.60546875
156,FP1-F7_t156,FP1-F7,156,2996.609375
157,FP1-F7_t157,FP1-F7,157,2996.61328125
158,FP1-F7_t158,FP1-F7,158,2996.6171875
159,FP1-F7_t159,FP1-F7,159,2996.62109375
160,FP1-F7_t160,FP1-F7,160,2996.625
161,FP1-F7_t161,FP1-F7,161,2996.62890625
162,FP1-F7_t162,FP1-F7,162,2996.6328125
163,FP1-F7_t163,FP1-F7,163,2996.63671875
164,FP1-F7_t164,FP1-F7,164,2996.640625
165,FP1-F7_t165,FP1-F7,165,2996.64453125
166,FP1-F7_t166,FP1-F7,166,2996.6484375
167,FP1-F7_t167,FP1-F7,167,2996.65234375
168,FP1-F7_t168,FP1-F7,168,2996.65625
169,FP1-F7_t169,FP1-F7,169,2996.66015625
170,FP1-F7_t170,FP1-F7,170,2996.6640625
171,FP1-F7_t171,FP1-F7,171,2996.66796875
172,FP1-F7_t172,FP1-F7,172,2996.671875
173,FP1-F7_t173,FP1-F7,173,2996.67578125
174,FP1-F7_t174,FP1-F7,174,2996.6796875
175,FP1-F7_t175,FP1-F7,175,2996.68359375
176,FP1-F7_t176,FP1-F7,176,2996.6875
177,FP1-F7_t177,FP1-F7,177,2996.69140625
178,FP1-F7_t178,FP1-F7,178,2996.6953125
179,FP1-F7_t179,FP1-F7,179,2996.69921875
180,FP1-F7_t180,FP1-F7,180,2996.703125
181,FP1-F7_t181,FP1-F7,181,2996.70703125
182,FP1-F7_t182,FP1-F7,182,2996.7109375
183,FP1-F7_t183,FP1-F7,183,2996.71484375
184,FP1-F7_t184,FP1-F7,184,2996.71875
185,FP1-F7_t185,FP1-F7,185,2996.72265625
186,FP1-F7_t186,FP1-F7,186,2996.7265625
187,FP1-F7_t187,FP1-F7,187,2996.73046875
188,FP1-F7_t188,FP1-F7,188,2996.734375
189,FP1-F7_t189,FP1-F7,189,2996.73828125
190,FP1-F7_t190,FP1-F7,190,2996.7421875
191,FP1-F7_t191,FP1-F7,191,2996.74609375
192,FP1-F7_t192,FP1-F7,192,2996.75
193,FP1-F7_t193,FP1-F7,193,2996.75390625
194,FP1-F7_t194,FP1-F7,194,2996.7578125
195,FP1-F7_t195,FP1-F7,195,2996.76171875
196,FP1-F7_t196,FP1-F7,196,2996.765625
197,FP1-F7_t197,FP1-F7,197,2996.76953125
198,FP1-F7_t198,FP1-F7,198,2996.7734375
199,FP1-F7_t199,FP1-F7,199,2996.77734375
200,FP1-F7_t200,FP1-F7,200,2996.78125
201,FP1-F7_t201,FP1-F7,201,2996.78515625
202,FP1-F7_t202,FP1-F7,202,2996.7890625
203,FP1-F7_t203,FP1-F7,203,2996.79296875
204,FP1-F7_t204,FP1-F7,204,2996.796875
205,FP1-F7_t205,FP1-F7,205,2996.80078125
206,FP1-F7_t206,FP1-F7,206,2996.8046875
207,FP1-F7_t207,FP1-F7,207,2996.80859375
208,FP1-F7_t208,FP1-F7,208,2996.8125
209,FP1-F7_t209,FP1-F7,209,2996.81640625
210,FP1-F7_t210,FP1-F7,210,2996.8203125
211,FP1-F7_t211,FP1-F7,211,2996.82421875
212,FP1-F7_t212,FP1-F7,212,2996.828125
213,FP1-F7_t213,FP1-F7,213,2996.83203125
214,FP1-F7_t214,FP1-F7,214,2996.8359375
215,FP1-F7_t215,FP1-F7,215,2996.83984375
216,FP1-F7_t216,FP1-F7,216,2996.84375
217,FP1-F7_t217,FP1-F7,217,2996.84765625
218,FP1-F7_t218,FP1-F7,218,2996.8515625
219,FP1-F7_t219,FP1-F7,219,2996.85546875
220,FP1-F7_t220,FP1-F7,220,2996.859375
221,FP1-F7_t221,FP1-F7,221,2996.86328125
222,FP1-F7_t222,FP1-F7,222,2996.8671875
223,FP1-F7_t223,FP1-F7,223,2996.87109375
224,FP1-F7_t224,FP1-F7,224,2996.875
225,FP1-F7_t225,FP1-F7,225,2996.87890625
226,FP1-F7_t226,FP1-F7,226,2996.8828125
227,FP1-F7_t227,FP1-F7,227,2996.88671875
228,FP1-F7_t228,FP1-F7,228,2996.890625
229,FP1-F7_t229,FP1-F7,229,2996.89453125
230,FP1-F7_t230,FP1-F7,230,2996.8984375
231,FP1-F7_t231,FP1-F7,231,2996.90234375
232,FP1-F7_t232,FP1-F7,232,2996.90625
233,FP1-F7_t233,FP1-F7,233,2996.91015625
234,FP1-F7_t234,FP1-F7,234,2996.9140625
235,FP1-F7_t235,FP1-F7,235,2996.91796875
236,FP1-F7_t236,FP1-F7,236,2996.921875
237,FP1-F7_t237,FP1-F7,237,2996.92578125
238,FP1-F7_t238,FP1-F7,238,2996.9296875
239,FP1-F7_t239,FP1-F7,239,2996.93359375
240,FP1-F7_t240,FP1-F7,240,2996.9375
241,FP1-F7_t241,FP1-F7,241,2996.94140625
242,FP1-F7_t242,FP1-F7,242,2996.9453125
243,FP1-F7_t243,FP1-F7,243,2996.94921875
244,FP1-F7_t244,FP1-F7,244,2996.953125
245,FP1-F7_t245,FP1-F7,245,2996.95703125
246,FP1-F7_t246,FP1-F7,246,2996.9609375
247,FP1-F7_t247,FP1-F7,247,2996.96484375
248,FP1-F7_t248,FP1-F7,248,2996.96875
249,FP1-F7_t249,FP1-F7,249,2996.97265625
250,FP1-F7_t250,FP1-F7,250,2996.9765625
251,FP1-F7_t251,FP1-F7,251,2996.98046875
252,FP1-F7_t252,FP1-F7,252,2996.984375
253,FP1-F7_t253,FP1-F7,253,2996.98828125
254,FP1-F7_t254,FP1-F7,254,2996.9921875
255,FP1-F7_t255,FP1-F7,255,2996.99609375
256,FP1-F7_t256,FP1-F7,256,2997.0
257,FP1-F7_t257,FP1-F7,257,2997.00390625
258,FP1-F7_t258,FP1-F7,258,2997.0078125
259,FP1-F7_t259,FP1-F7,259,2997.01171875
260,FP1-F7_t260,FP1-F7,260,2997.015625
261,FP1-F7_t261,FP1-F7,261,2997.01953125
262,FP1-F7_t262,FP1-F7,262,2997.0234375
263,FP1-F7_t263,FP1-F7,263,2997.02734375
264,FP1-F7_t264,FP1-F7,264,2997.03125
265,FP1-F7_t265,FP1-F7,265,2997.03515625
266,FP1-F7_t266,FP1-F7,266,2997.0390625
267,FP1-F7_t267,FP1-F7,267,2997.04296875
268,FP1-F7_t268,FP1-F7,268,2997.046875
269,FP1-F7_t269,FP1-F7,269,2997.05078125
270,FP1-F7_t270,FP1-F7,270,2997.0546875
271,FP1-F7_t271,FP1-F7,271,2997.05859375
272,FP1-F7_t272,FP1-F7,272,2997.0625
273,FP1-F7_t273,FP1-F7,273,2997.06640625
274,FP1-F7_t274,FP1-F7,274,2997.0703125
275,FP1-F7_t275,FP1-F7,275,2997.07421875
276,FP1-F7_t276,FP1-F7,276,2997.078125
277,FP1-F7_t277,FP1-F7,277,2997.08203125
278,FP1-F7_t278,FP1-F7,278,2997.0859375
279,FP1-F7_t279,FP1-F7,279,2997.08984375
280,FP1-F7_t280,FP1-F7,280,2997.09375
281,FP1-F7_t281,FP1-F7,281,2997.09765625
282,FP1-F7_t282,FP1-F7,282,2997.1015625
283,FP1-F7_t283,FP1-F7,283,2997.10546875
284,FP1-F7_t284,FP1-F7,284,2997.109375
285,FP1-F7_t285,FP1-F7,285,2997.11328125
286,FP1-F7_t286,FP1-F7,286,2997.1171875
287,FP1-F7_t287,FP1-F7,287,2997.12109375
288,FP1-F7_t288,FP1-F7,288,2997.125
289,FP1-F7_t289,FP1-F7,289,2997.12890625
290,FP1-F7_t290,FP1-F7,290,2997.1328125
291,FP1-F7_t291,FP1-F7,291,2997.13671875
292,FP1-F7_t292,FP1-F7,292,2997.140625
293,FP1-F7_t293,FP1-F7,293,2997.14453125
294,FP1-F7_t294,FP1-F7,294,2997.1484375
295,FP1-F7_t295,FP1-F7,295,2997.15234375
296,FP1-F7_t296,FP1-F7,296,2997.15625
297,FP1-F7_t297,FP1-F7,297,2997.16015625
298,FP1-F7_t298,FP1-F7,298,2997.1640625
299,FP1-F7_t299,FP1-F7,299,2997.16796875
300,FP1-F7_t300,FP1-F7,300,2997.171875
301,FP1-F7_t301,FP1-F7,301,2997.17578125
302,FP1-F7_t302,FP1-F7,302,2997.1796875
303,FP1-F7_t303,FP1-F7,303,2997.18359375
304,FP1-F7_t304,FP1-F7,304,2997.1875
305,FP1-F7_t305,FP1-F7,305,2997.19140625
306,FP1-F7_t306,FP1-F7,306,2997.1953125
307,FP1-F7_t307,FP1-F7,307,2997.19921875
308,FP1-F7_t308,FP1-F7,308,2997.203125
309,FP1-F7_t309,FP1-F7,309,2997.20703125
310,FP1-F7_t310,FP1-F7,310,2997.2109375
311,FP1-F7_t311,FP1-F7,311,2997.21484375
312,FP1-F7_t312,FP1-F7,312,2997.21875
313,FP1-F7_t313,FP1-F7,313,2997.22265625
314,FP1-F7_t314,FP1-F7,314,2997.2265625
315,FP1-F7_t315,FP1-F7,315,2997.23046875
316,FP1-F7_t316,FP1-F7,316,2997.234375
317,FP1-F7_t317,FP1-F7,317,2997.23828125
318,FP1-F7_t318,FP1-F7,318,2997.2421875
319,FP1-F7_t319,FP1-F7,319,2997.24609375
320,FP1-F7_t320,FP1-F7,320,2997.25
321,FP1-F7_t321,FP1-F7,321,2997.25390625
322,FP1-F7_t322,FP1-F7,322,2997.2578125
323,FP1-F7_t323,FP1-F7,323,2997.26171875
324,FP1-F7_t324,FP1-F7,324,2997.265625
325,FP1-F7_t325,FP1-F7,325,2997.26953125
326,FP1-F7_t326,FP1-F7,326,2997.2734375
327,FP1-F7_t327,FP1-F7,327,2997.27734375
328,FP1-F7_t328,FP1-F7,328,2997.28125
329,FP1-F7_t329,FP1-F7,329,2997.28515625
330,FP1-F7_t330,FP1-F7,330,2997.2890625
331,FP1-F7_t331,FP1-F7,331,2997.29296875
332,FP1-F7_t332,FP1-F7,332,2997.296875
333,FP1-F7_t333,FP1-F7,333,2997.30078125
334,FP1-F7_t334,FP1-F7,334,2997.3046875
335,FP1-F7_t335,FP1-F7,335,2997.30859375
336,FP1-F7_t336,FP1-F7,336,2997.3125
337,FP1-F7_t337,FP1-F7,337,2997.31640625
338,FP1-F7_t338,FP1-F7,338,2997.3203125
339,FP1-F7_t339,FP1-F7,339,2997.32421875
340,FP1-F7_t340,FP1-F7,340,2997.328125
341,FP1-F7_t341,FP1-F7,341,2997.33203125
342,FP1-F7_t342,FP1-F7,342,2997.3359375
343,FP1-F7_t343,FP1-F7,343,2997.33984375
344,FP1-F7_t344,FP1-F7,344,2997.34375
345,FP1-F7_t345,FP1-F7,345,2997.34765625
346,FP1-F7_t346,FP1-F7,346,2997.3515625
347,FP1-F7_t347,FP1-F7,347,2997.35546875
348,FP1-F7_t348,FP1-F7,348,2997.359375
349,FP1-F7_t349,FP1-F7,349,2997.36328125
350,FP1-F7_t350,FP1-F7,350,2997.3671875
351,FP1-F7_t351,FP1-F7,351,2997.37109375
352,FP1-F7_t352,FP1-F7,352,2997.375
353,FP1-F7_t353,FP1-F7,353,2997.37890625
354,FP1-F7_t354,FP1-F7,354,2997.3828125
355,FP1-F7_t355,FP1-F7,355,2997.38671875
356,FP1-F7_t356,FP1-F7,356,2997.390625
357,FP1-F7_t357,FP1-F7,357,2997.39453125
358,FP1-F7_t358,FP1-F7,358,2997.3984375
359,FP1-F7_t359,FP1-F7,359,2997.40234375
360,FP1-F7_t360,FP1-F7,360,2997.40625
361,FP1-F7_t361,FP1-F7,361,2997.41015625
362,FP1-F7_t362,FP1-F7,362,2997.4140625
363,FP1-F7_t363,FP1-F7,363,2997.41796875
364,FP1-F7_t364,FP1-F7,364,2997.421875
365,FP1-F7_t365,FP1-F7,365,2997.42578125
366,FP1-F7_t366,FP1-F7,366,2997.4296875
367,FP1-F7_t367,FP1-F7,367,2997.43359375
368,FP1-F7_t368,FP1-F7,368,2997.4375
369,FP1-F7_t369,FP1-F7,369,2997.44140625
370,FP1-F7_t370,FP1-F7,370,2997.4453125
371,FP1-F7_t371,FP1-F7,371,2997.44921875
372,FP1-F7_t372,FP1-F7,372,2997.453125
373,FP1-F7_t373,FP1-F7,373,2997.45703125
374,FP1-F7_t374,FP1-F7,374,2997.4609375
375,FP1-F7_t375,FP1-F7,375,2997.46484375
376,FP1-F7_t376,FP1-F7,376,2997.46875
377,FP1-F7_t377,FP1-F7,377,2997.47265625
378,FP1-F7_t378,FP1-F7,378,2997.4765625
379,FP1-F7_t379,FP1-F7,379,2997.48046875
380,FP1-F7_t380,FP1-F7,380,2997.484375
381,FP1-F7_t381,FP1-F7,381,2997.48828125
382,FP1-F7_t382,FP1-F7,382,2997.4921875
383,FP1-F7_t383,FP1-F7,383,2997.49609375
384,FP1-F7_t384,FP1-F7,384,2997.5
385,FP1-F7_t385,FP1-F7,385,2997.50390625
386,FP1-F7_t386,FP1-F7,386,2997.5078125
387,FP1-F7_t387,FP1-F7,387,2997.51171875
388,FP1-F7_t388,FP1-F7,388,2997.515625
389,FP1-F7_t389,FP1-F7,389,2997.51953125
390,FP1-F7_t390,FP1-F7,390,2997.5234375
391,FP1-F7_t391,FP1-F7,391,2997.52734375
392,FP1-F7_t392,FP1-F7,392,2997.53125
393,FP1-F7_t393,FP1-F7,393,2997.53515625
394,FP1-F7_t394,FP1-F7,394,2997.5390625
395,FP1-F7_t395,FP1-F7,395,2997.54296875
396,FP1-F7_t396,FP1-F7,396,2997.546875
397,FP1-F7_t397,FP1-F7,397,2997.55078125
398,FP1-F7_t398,FP1-F7,398,2997.5546875
399,FP1-F7_t399,FP1-F7,399,2997.55859375
400,FP1-F7_t400,FP1-F7,400,2997.5625
401,FP1-F7_t401,FP1-F7,401,2997.56640625
402,FP1-F7_t402,FP1-F7,402,2997.5703125
403,FP1-F7_t403,FP1-F7,403,2997.57421875
404,FP1-F7_t404,FP1-F7,404,2997.578125
405,FP1-F7_t405,FP1-F7,405,2997.58203125
406,FP1-F7_t406,FP1-F7,406,2997.5859375
407,FP1-F7_t407,FP1-F7,407,2997.58984375
408,FP1-F7_t408,FP1-F7,408,2997.59375
409,FP1-F7_t409,FP1-F7,409,2997.59765625
410,FP1-F7_t410,FP1-F7,410,2997.6015625
411,FP1-F7_t411,FP1-F7,411,2997.60546875
412,FP1-F7_t412,FP1-F7,412,2997.609375
413,FP1-F7_t413,FP1-F7,413,2997.61328125
414,FP1-F7_t414,FP1-F7,414,2997.6171875
415,FP1-F7_t415,FP1-F7,415,2997.62109375
416,FP1-F7_t416,FP1-F7,416,2997.625
417,FP1-F7_t417,FP1-F7,417,2997.62890625
418,FP1-F7_t418,FP1-F7,418,2997.6328125
419,FP1-F7_t419,FP1-F7,419,2997.63671875
420,FP1-F7_t420,FP1-F7,420,2997.640625
421,FP1-F7_t421,FP1-F7,421,2997.64453125
422,FP1-F7_t422,FP1-F7,422,2997.6484375
423,FP1-F7_t423,FP1-F7,423,2997.65234375
424,FP1-F7_t424,FP1-F7,424,2997.65625
425,FP1-F7_t425,FP1-F7,425,2997.66015625
426,FP1-F7_t426,FP1-F7,426,2997.6640625
427,FP1-F7_t427,FP1-F7,427,2997.66796875
428,FP1-F7_t428,FP1-F7,428,2997.671875
429,FP1-F7_t429,FP1-F7,429,2997.67578125
430,FP1-F7_t430,FP1-F7,430,2997.6796875
431,FP1-F7_t431,FP1-F7,431,2997.68359375
432,FP1-F7_t432,FP1-F7,432,2997.6875
433,FP1-F7_t433,FP1-F7,433,2997.69140625
434,FP1-F7_t434,FP1-F7,434,2997.6953125
435,FP1-F7_t435,FP1-F7,435,2997.69921875
436,FP1-F7_t436,FP1-F7,436,2997.703125
437,FP1-F7_t437,FP1-F7,437,2997.70703125
438,FP1-F7_t438,FP1-F7,438,2997.7109375
439,FP1-F7_t439,FP1-F7,439,2997.71484375
440,FP1-F7_t440,FP1-F7,440,2997.71875
441,FP1-F7_t441,FP1-F7,441,2997.72265625
442,FP1-F7_t442,FP1-F7,442,2997.7265625
443,FP1-F7_t443,FP1-F7,443,2997.73046875
444,FP1-F7_t444,FP1-F7,444,2997.734375
445,FP1-F7_t445,FP1-F7,445,2997.73828125
446,FP1-F7_t446,FP1-F7,446,2997.7421875
447,FP1-F7_t447,FP1-F7,447,2997.74609375
448,FP1-F7_t448,FP1-F7,448,2997.75
449,FP1-F7_t449,FP1-F7,449,2997.75390625
450,FP1-F7_t450,FP1-F7,450,2997.7578125
451,FP1-F7_t451,FP1-F7,451,2997.76171875
452,FP1-F7_t452,FP1-F7,452,2997.765625
453,FP1-F7_t453,FP1-F7,453,2997.76953125
454,FP1-F7_t454,FP1-F7,454,2997.7734375
455,FP1-F7_t455,FP1-F7,455,2997.77734375
456,FP1-F7_t456,FP1-F7,456,2997.78125
457,FP1-F7_t457,FP1-F7,457,2997.78515625
458,FP1-F7_t458,FP1-F7,458,2997.7890625
459,FP1-F7_t459,FP1-F7,459,2997.79296875
460,FP1-F7_t460,FP1-F7,460,2997.796875
461,FP1-F7_t461,FP1-F7,461,2997.80078125
462,FP1-F7_t462,FP1-F7,462,2997.8046875
463,FP1-F7_t463,FP1-F7,463,2997.80859375
464,FP1-F7_t464,FP1-F7,464,2997.8125
465,FP1-F7_t465,FP1-F7,465,2997.81640625
466,FP1-F7_t466,FP1-F7,466,2997.8203125
467,FP1-F7_t467,FP1-F7,467,2997.82421875
468,FP1-F7_t468,FP1-F7,468,2997.828125
469,FP1-F7_t469,FP1-F7,469,2997.83203125
470,FP1-F7_t470,FP1-F7,470,2997.8359375
471,FP1-F7_t471,FP1-F7,471,2997.83984375
472,FP1-F7_t472,FP1-F7,472,2997.84375
473,FP1-F7_t473,FP1-F7,473,2997.84765625
474,FP1-F7_t474,FP1-F7,474,2997.8515625
475,FP1-F7_t475,FP1-F7,475,2997.85546875
476,FP1-F7_t476,FP1-F7,476,2997.859375
477,FP1-F7_t477,FP1-F7,477,2997.86328125
478,FP1-F7_t478,FP1-F7,478,2997.8671875
479,FP1-F7_t479,FP1-F7,479,2997.87109375
480,FP1-F7_t480,FP1-F7,480,2997.875
481,FP1-F7_t481,FP1-F7,481,2997.87890625
482,FP1-F7_t482,FP1-F7,482,2997.8828125
483,FP1-F7_t483,FP1-F7,483,2997.88671875
484,FP1-F7_t484,FP1-F7,484,2997.890625
485,FP1-F7_t485,FP1-F7,485,2997.89453125
486,FP1-F7_t486,FP1-F7,486,2997.8984375
487,FP1-F7_t487,FP1-F7,487,2997.90234375
488,FP1-F7_t488,FP1-F7,488,2997.90625
489,FP1-F7_t489,FP1-F7,489,2997.91015625
490,FP1-F7_t490,FP1-F7,490,2997.9140625
491,FP1-F7_t491,FP1-F7,491,2997.91796875
492,FP1-F7_t492,FP1-F7,492,2997.921875
493,FP1-F7_t493,FP1-F7,493,2997.92578125
494,FP1-F7_t494,FP1-F7,494,2997.9296875
495,FP1-F7_t495,FP1-F7,495,2997.93359375
496,FP1-F7_t496,FP1-F7,496,2997.9375
497,FP1-F7_t497,FP1-F7,497,2997.94140625
498,FP1-F7_t498,FP1-F7,498,2997.9453125
499,FP1-F7_t499,FP1-F7,499,2997.94921875
500,FP1-F7_t500,FP1-F7,500,2997.953125
501,FP1-F7_t501,FP1-F7,501,2997.95703125
502,FP1-F7_t502,FP1-F7,502,2997.9609375
