Id,Label,electrode,time_idx,layer,graph_label
FP1-F7_t100,FP1-F7_t100,FP1-F7,100,FP1-F7,ictal
FP1-F7_t101,FP1-F7_t101,FP1-F7,101,FP1-F7,ictal
FP1-F7_t102,FP1-F7_t102,FP1-F7,102,FP1-F7,ictal
FP1-F7_t103,FP1-F7_t103,FP1-F7,103,FP1-F7,ictal
FP1-F7_t104,FP1-F7_t104,FP1-F7,104,FP1-F7,ictal
FP1-F7_t105,FP1-F7_t105,FP1-F7,105,FP1-F7,ictal
FP1-F7_t106,FP1-F7_t106,FP1-F7,106,FP1-F7,ictal
FP1-F7_t107,FP1-F7_t107,FP1-F7,107,FP1-F7,ictal
FP1-F7_t108,FP1-F7_t108,FP1-F7,108,FP1-F7,ictal
FP1-F7_t109,FP1-F7_t109,FP1-F7,109,FP1-F7,ictal
FP1-F7_t110,FP1-F7_t110,FP1-F7,110,FP1-F7,ictal
FP1-F7_t111,FP1-F7_t111,FP1-F7,111,FP1-F7,ictal
FP1-F7_t112,FP1-F7_t112,FP1-F7,112,FP1-F7,ictal
FP1-F7_t113,FP1-F7_t113,FP1-F7,113,FP1-F7,ictal
FP1-F7_t114,FP1-F7_t114,FP1-F7,114,FP1-F7,ictal
FP1-F7_t115,FP1-F7_t115,FP1-F7,115,FP1-F7,ictal
FP1-F7_t116,FP1-F7_t116,FP1-F7,116,FP1-F7,ictal
FP1-F7_t117,FP1-F7_t117,FP1-F7,117,FP1-F7,ictal
FP1-F7_t118,FP1-F7_t118,FP1-F7,118,FP1-F7,ictal
FP1-F7_t119,FP1-F7_t119,FP1-F7,119,FP1-F7,ictal
FP1-F7_t120,FP1-F7_t120,FP1-F7,120,FP1-F7,ictal
FP1-F7_t121,FP1-F7_t121,FP1-F7,121,FP1-F7,ictal
FP1-F7_t122,FP1-F7_t122,FP1-F7,122,FP1-F7,ictal
FP1-F7_t123,FP1-F7_t123,FP1-F7,123,FP1-F7,ictal
FP1-F7_t124,FP1-F7_t124,FP1-F7,124,FP1-F7,ictal
FP1-F7_t125,FP1-F7_t125,FP1-F7,125,FP1-F7,ictal
FP1-F7_t126,FP1-F7_t126,FP1-F7,126,FP1-F7,ictal
FP1-F7_t127,FP1-F7_t127,FP1-F7,127,FP1-F7,ictal
FP1-F7_t128,FP1-F7_t128,FP1-F7,128,FP1-F7,ictal
FP1-F7_t129,FP1-F7_t129,FP1-F7,129,FP1-F7,ictal
FP1-F7_t130,FP1-F7_t130,FP1-F7,130,FP1-F7,ictal
FP1-F7_t131,FP1-F7_t131,FP1-F7,131,FP1-F7,ictal
FP1-F7_t132,FP1-F7_t132,FP1-F7,132,FP1-F7,ictal
FP1-F7_t133,FP1-F7_t133,FP1-F7,133,FP1-F7,ictal
FP1-F7_t134,FP1-F7_t134,FP1-F7,134,FP1-F7,ictal
FP1-F7_t135,FP1-F7_t135,FP1-F7,135,FP1-F7,ictal
FP1-F7_t136,FP1-F7_t136,FP1-F7,136,FP1-F7,ictal
FP1-F7_t137,FP1-F7_t137,FP1-F7,137,FP1-F7,ictal
FP1-F7_t138,FP1-F7_t138,FP1-F7,138,FP1-F7,ictal
FP1-F7_t139,FP1-F7_t139,FP1-F7,139,FP1-F7,ictal
FP1-F7_t140,FP1-F7_t140,FP1-F7,140,FP1-F7,ictal
FP1-F7_t141,FP1-F7_t141,FP1-F7,141,FP1-F7,ictal
FP1-F7_t142,FP1-F7_t142,FP1-F7,142,FP1-F7,ictal
FP1-F7_t143,FP1-F7_t143,FP1-F7,143,FP1-F7,ictal
FP1-F7_t144,FP1-F7_t144,FP1-F7,144,FP1-F7,ictal
FP1-F7_t145,FP1-F7_t145,FP1-F7,145,FP1-F7,ictal
FP1-F7_t146,FP1-F7_t146,FP1-F7,146,FP1-F7,ictal
FP1-F7_t147,FP1-F7_t147,FP1-F7,147,FP1-F7,ictal
FP1-F7_t148,FP1-F7_t148,FP1-F7,148,FP1-F7,ictal
FP1-F7_t149,FP1-F7_t149,FP1-F7,149,FP1-F7,ictal
FP1-F7_t150,FP1-F7_t150,FP1-F7,150,FP1-F7,ictal
FP1-F7_t151,FP1-F7_t151,FP1-F7,151,FP1-F7,ictal
FP1-F7_t152,FP1-F7_t152,FP1-F7,152,FP1-F7,ictal
FP1-F7_t153,FP1-F7_t153,FP1-F7,153,FP1-F7,ictal
FP1-F7_t154,FP1-F7_t154,FP1-F7,154,FP1-F7,ictal
FP1-F7_t155,FP1-F7_t155,FP1-F7,155,FP1-F7,ictal
FP1-F7_t156,FP1-F7_t156,FP1-F7,156,FP1-F7,ictal
FP1-F7_t157,FP1-F7_t157,FP1-F7,157,FP1-F7,ictal
FP1-F7_t158,FP1-F7_t158,FP1-F7,158,FP1-F7,ictal
FP1-F7_t159,FP1-F7_t159,FP1-F7,159,FP1-F7,ictal
FP1-F7_t160,FP1-F7_t160,FP1-F7,160,FP1-F7,ictal
FP1-F7_t161,FP1-F7_t161,FP1-F7,161,FP1-F7,ictal
FP1-F7_t162,FP1-F7_t162,FP1-F7,162,FP1-F7,ictal
FP1-F7_t163,FP1-F7_t163,FP1-F7,163,FP1-F7,ictal
FP1-F7_t164,FP1-F7_t164,FP1-F7,164,FP1-F7,ictal
FP1-F7_t165,FP1-F7_t165,FP1-F7,165,FP1-F7,ictal
FP1-F7_t166,FP1-F7_t166,FP1-F7,166,FP1-F7,ictal
FP1-F7_t167,FP1-F7_t167,FP1-F7,167,FP1-F7,ictal
FP1-F7_t168,FP1-F7_t168,FP1-F7,168,FP1-F7,ictal
FP1-F7_t169,FP1-F7_t169,FP1-F7,169,FP1-F7,ictal
FP1-F7_t170,FP1-F7_t170,FP1-F7,170,FP1-F7,ictal
FP1-F7_t171,FP1-F7_t171,FP1-F7,171,FP1-F7,ictal
FP1-F7_t172,FP1-F7_t172,FP1-F7,172,FP1-F7,ictal
FP1-F7_t173,FP1-F7_t173,FP1-F7,173,FP1-F7,ictal
FP1-F7_t174,FP1-F7_t174,FP1-F7,174,FP1-F7,ictal
FP1-F7_t175,FP1-F7_t175,FP1-F7,175,FP1-F7,ictal
FP1-F7_t176,FP1-F7_t176,FP1-F7,176,FP1-F7,ictal
FP1-F7_t177,FP1-F7_t177,FP1-F7,177,FP1-F7,ictal
FP1-F7_t178,FP1-F7_t178,FP1-F7,178,FP1-F7,ictal
FP1-F7_t179,FP1-F7_t179,FP1-F7,179,FP1-F7,ictal
FP1-F7_t180,FP1-F7_t180,FP1-F7,180,FP1-F7,ictal
FP1-F7_t181,FP1-F7_t181,FP1-F7,181,FP1-F7,ictal
FP1-F7_t182,FP1-F7_t182,FP1-F7,182,FP1-F7,ictal
FP1-F7_t183,FP1-F7_t183,FP1-F7,183,FP1-F7,ictal
FP1-F7_t184,FP1-F7_t184,FP1-F7,184,FP1-F7,ictal
FP1-F7_t185,FP1-F7_t185,FP1-F7,185,FP1-F7,ictal
FP1-F7_t186,FP1-F7_t186,FP1-F7,186,FP1-F7,ictal
FP1-F7_t187,FP1-F7_t187,FP1-F7,187,FP1-F7,ictal
FP1-F7_t188,FP1-F7_t188,FP1-F7,188,FP1-F7,ictal
FP1-F7_t189,FP1-F7_t189,FP1-F7,189,FP1-F7,ictal
FP1-F7_t190,FP1-F7_t190,FP1-F7,190,FP1-F7,ictal
FP1-F7_t191,FP1-F7_t191,FP1-F7,191,FP1-F7,ictal
FP1-F7_t192,FP1-F7_t192,FP1-F7,192,FP1-F7,ictal
FP1-F7_t193,FP1-F7_t193,FP1-F7,193,FP1-F7,ictal
FP1-F7_t194,FP1-F7_t194,FP1-F7,194,FP1-F7,ictal
FP1-F7_t195,FP1-F7_t195,FP1-F7,195,FP1-F7,ictal
FP1-F7_t196,FP1-F7_t196,FP1-F7,196,FP1-F7,ictal
FP1-F7_t197,FP1-F7_t197,FP1-F7,197,FP1-F7,ictal
FP1-F7_t198,FP1-F7_t198,FP1-F7,198,FP1-F7,ictal
FP1-F7_t199,FP1-F7_t199,FP1-F7,199,FP1-F7,ictal
FP1-F7_t200,FP1-F7_t200,FP1-F7,200,FP1-F7,ictal
FP1-F7_t201,FP1-F7_t201,FP1-F7,201,FP1-F7,ictal
FP1-F7_t202,FP1-F7_t202,FP1-F7,202,FP1-F7,ictal
FP1-F7_t203,FP1-F7_t203,FP1-F7,203,FP1-F7,ictal
FP1-F7_t204,FP1-F7_t204,FP1-F7,204,FP1-F7,ictal
FP1-F7_t205,FP1-F7_t205,FP1-F7,205,FP1-F7,ictal
FP1-F7_t206,FP1-F7_t206,FP1-F7,206,FP1-F7,ictal
FP1-F7_t207,FP1-F7_t207,FP1-F7,207,FP1-F7,ictal
FP1-F7_t208,FP1-F7_t208,FP1-F7,208,FP1-F7,ictal
FP1-F7_t209,FP1-F7_t209,FP1-F7,209,FP1-F7,ictal
FP1-F7_t210,FP1-F7_t210,FP1-F7,210,FP1-F7,ictal
FP1-F7_t211,FP1-F7_t211,FP1-F7,211,FP1-F7,ictal
FP1-F7_t212,FP1-F7_t212,FP1-F7,212,FP1-F7,ictal
FP1-F7_t213,FP1-F7_t213,FP1-F7,213,FP1-F7,ictal
FP1-F7_t214,FP1-F7_t214,FP1-F7,214,FP1-F7,ictal
FP1-F7_t215,FP1-F7_t215,FP1-F7,215,FP1-F7,ictal
FP1-F7_t216,FP1-F7_t216,FP1-F7,216,FP1-F7,ictal
FP1-F7_t217,FP1-F7_t217,FP1-F7,217,FP1-F7,ictal
FP1-F7_t218,FP1-F7_t218,FP1-F7,218,FP1-F7,ictal
FP1-F7_t219,FP1-F7_t219,FP1-F7,219,FP1-F7,ictal
FP1-F7_t220,FP1-F7_t220,FP1-F7,220,FP1-F7,ictal
FP1-F7_t221,FP1-F7_t221,FP1-F7,221,FP1-F7,ictal
FP1-F7_t222,FP1-F7_t222,FP1-F7,222,FP1-F7,ictal
FP1-F7_t223,FP1-F7_t223,FP1-F7,223,FP1-F7,ictal
FP1-F7_t224,FP1-F7_t224,FP1-F7,224,FP1-F7,ictal
FP1-F7_t225,FP1-F7_t225,FP1-F7,225,FP1-F7,ictal
FP1-F7_t226,FP1-F7_t226,FP1-F7,226,FP1-F7,ictal
FP1-F7_t227,FP1-F7_t227,FP1-F7,227,FP1-F7,ictal
FP1-F7_t228,FP1-F7_t228,FP1-F7,228,FP1-F7,ictal
FP1-F7_t229,FP1-F7_t229,FP1-F7,229,FP1-F7,ictal
FP1-F7_t230,FP1-F7_t230,FP1-F7,230,FP1-F7,ictal
FP1-F7_t231,FP1-F7_t231,FP1-F7,231,FP1-F7,ictal
FP1-F7_t232,FP1-F7_t232,FP1-F7,232,FP1-F7,ictal
FP1-F7_t233,FP1-F7_t233,FP1-F7,233,FP1-F7,ictal
FP1-F7_t234,FP1-F7_t234,FP1-F7,234,FP1-F7,ictal
FP1-F7_t235,FP1-F7_t235,FP1-F7,235,FP1-F7,ictal
FP1-F7_t236,FP1-F7_t236,FP1-F7,236,FP1-F7,ictal
FP1-F7_t237,FP1-F7_t237,FP1-F7,237,FP1-F7,ictal
FP1-F7_t238,FP1-F7_t238,FP1-F7,238,FP1-F7,ictal
FP1-F7_t239,FP1-F7_t239,FP1-F7,239,FP1-F7,ictal
FP1-F7_t240,FP1-F7_t240,FP1-F7,240,FP1-F7,ictal
FP1-F7_t241,FP1-F7_t241,FP1-F7,241,FP1-F7,ictal
FP1-F7_t242,FP1-F7_t242,FP1-F7,242,FP1-F7,ictal
FP1-F7_t243,FP1-F7_t243,FP1-F7,243,FP1-F7,ictal
FP1-F7_t244,FP1-F7_t244,FP1-F7,244,FP1-F7,ictal
FP1-F7_t245,FP1-F7_t245,FP1-F7,245,FP1-F7,ictal
FP1-F7_t246,FP1-F7_t246,FP1-F7,246,FP1-F7,ictal
FP1-F7_t247,FP1-F7_t247,FP1-F7,247,FP1-F7,ictal
FP1-F7_t248,FP1-F7_t248,FP1-F7,248,FP1-F7,ictal
FP1-F7_t249,FP1-F7_t249,FP1-F7,249,FP1-F7,ictal
FP1-F7_t250,FP1-F7_t250,FP1-F7,250,FP1-F7,ictal
FP1-F7_t251,FP1-F7_t251,FP1-F7,251,FP1-F7,ictal
FP1-F7_t252,FP1-F7_t252,FP1-F7,252,FP1-F7,ictal
FP1-F7_t253,FP1-F7_t253,FP1-F7,253,FP1-F7,ictal
FP1-F7_t254,FP1-F7_t254,FP1-F7,254,FP1-F7,ictal
FP1-F7_t255,FP1-F7_t255,FP1-F7,255,FP1-F7,ictal
FP1-F7_t256,FP1-F7_t256,FP1-F7,256,FP1-F7,ictal
FP1-F7_t257,FP1-F7_t257,FP1-F7,257,FP1-F7,ictal
FP1-F7_t258,FP1-F7_t258,FP1-F7,258,FP1-F7,ictal
FP1-F7_t259,FP1-F7_t259,FP1-F7,259,FP1-F7,ictal
FP1-F7_t260,FP1-F7_t260,FP1-F7,260,FP1-F7,ictal
FP1-F7_t261,FP1-F7_t261,FP1-F7,261,FP1-F7,ictal
FP1-F7_t262,FP1-F7_t262,FP1-F7,262,FP1-F7,ictal
FP1-F7_t263,FP1-F7_t263,FP1-F7,263,FP1-F7,ictal
FP1-F7_t264,FP1-F7_t264,FP1-F7,264,FP1-F7,ictal
FP1-F7_t265,FP1-F7_t265,FP1-F7,265,FP1-F7,ictal
FP1-F7_t266,FP1-F7_t266,FP1-F7,266,FP1-F7,ictal
FP1-F7_t267,FP1-F7_t267,FP1-F7,267,FP1-F7,ictal
FP1-F7_t268,FP1-F7_t268,FP1-F7,268,FP1-F7,ictal
FP1-F7_t269,FP1-F7_t269,FP1-F7,269,FP1-F7,ictal
FP1-F7_t270,FP1-F7_t270,FP1-F7,270,FP1-F7,ictal
FP1-F7_t271,FP1-F7_t271,FP1-F7,271,FP1-F7,ictal
FP1-F7_t272,FP1-F7_t272,FP1-F7,272,FP1-F7,ictal
FP1-F7_t273,FP1-F7_t273,FP1-F7,273,FP1-F7,ictal
FP1-F7_t274,FP1-F7_t274,FP1-F7,274,FP1-F7,ictal
FP1-F7_t275,FP1-F7_t275,FP1-F7,275,FP1-F7,ictal
FP1-F7_t276,FP1-F7_t276,FP1-F7,276,FP1-F7,ictal
FP1-F7_t277,FP1-F7_t277,FP1-F7,277,FP1-F7,ictal
FP1-F7_t278,FP1-F7_t278,FP1-F7,278,FP1-F7,ictal
FP1-F7_t279,FP1-F7_t279,FP1-F7,279,FP1-F7,ictal
FP1-F7_t280,FP1-F7_t280,FP1-F7,280,FP1-F7,ictal
FP1-F7_t281,FP1-F7_t281,FP1-F7,281,FP1-F7,ictal
FP1-F7_t282,FP1-F7_t282,FP1-F7,282,FP1-F7,ictal
FP1-F7_t283,FP1-F7_t283,FP1-F7,283,FP1-F7,ictal
FP1-F7_t284,FP1-F7_t284,FP1-F7,284,FP1-F7,ictal
FP1-F7_t285,FP1-F7_t285,FP1-F7,285,FP1-F7,ictal
FP1-F7_t286,FP1-F7_t286,FP1-F7,286,FP1-F7,ictal
FP1-F7_t287,FP1-F7_t287,FP1-F7,287,FP1-F7,ictal
FP1-F7_t288,FP1-F7_t288,FP1-F7,288,FP1-F7,ictal
FP1-F7_t289,FP1-F7_t289,FP1-F7,289,FP1-F7,ictal
FP1-F7_t290,FP1-F7_t290,FP1-F7,290,FP1-F7,ictal
FP1-F7_t291,FP1-F7_t291,FP1-F7,291,FP1-F7,ictal
FP1-F7_t292,FP1-F7_t292,FP1-F7,292,FP1-F7,ictal
FP1-F7_t293,FP1-F7_t293,FP1-F7,293,FP1-F7,ictal
FP1-F7_t294,FP1-F7_t294,FP1-F7,294,FP1-F7,ictal
FP1-F7_t295,FP1-F7_t295,FP1-F7,295,FP1-F7,ictal
FP1-F7_t296,FP1-F7_t296,FP1-F7,296,FP1-F7,ictal
FP1-F7_t297,FP1-F7_t297,FP1-F7,297,FP1-F7,ictal
FP1-F7_t298,FP1-F7_t298,FP1-F7,298,FP1-F7,ictal
FP1-F7_t299,FP1-F7_t299,FP1-F7,299,FP1-F7,ictal
FP1-F7_t300,FP1-F7_t300,FP1-F7,300,FP1-F7,ictal
FP1-F7_t301,FP1-F7_t301,FP1-F7,301,FP1-F7,ictal
FP1-F7_t302,FP1-F7_t302,FP1-F7,302,FP1-F7,ictal
FP1-F7_t303,FP1-F7_t303,FP1-F7,303,FP1-F7,ictal
FP1-F7_t304,FP1-F7_t304,FP1-F7,304,FP1-F7,ictal
FP1-F7_t305,FP1-F7_t305,FP1-F7,305,FP1-F7,ictal
FP1-F7_t306,FP1-F7_t306,FP1-F7,306,FP1-F7,ictal
FP1-F7_t307,FP1-F7_t307,FP1-F7,307,FP1-F7,ictal
FP1-F7_t308,FP1-F7_t308,FP1-F7,308,FP1-F7,ictal
FP1-F7_t309,FP1-F7_t309,FP1-F7,309,FP1-F7,ictal
FP1-F7_t310,FP1-F7_t310,FP1-F7,310,FP1-F7,ictal
FP1-F7_t311,FP1-F7_t311,FP1-F7,311,FP1-F7,ictal
FP1-F7_t312,FP1-F7_t312,FP1-F7,312,FP1-F7,ictal
FP1-F7_t313,FP1-F7_t313,FP1-F7,313,FP1-F7,ictal
FP1-F7_t314,FP1-F7_t314,FP1-F7,314,FP1-F7,ictal
FP1-F7_t315,FP1-F7_t315,FP1-F7,315,FP1-F7,ictal
FP1-F7_t316,FP1-F7_t316,FP1-F7,316,FP1-F7,ictal
FP1-F7_t317,FP1-F7_t317,FP1-F7,317,FP1-F7,ictal
FP1-F7_t318,FP1-F7_t318,FP1-F7,318,FP1-F7,ictal
FP1-F7_t319,FP1-F7_t319,FP1-F7,319,FP1-F7,ictal
FP1-F7_t320,FP1-F7_t320,FP1-F7,320,FP1-F7,ictal
FP1-F7_t321,FP1-F7_t321,FP1-F7,321,FP1-F7,ictal
FP1-F7_t322,FP1-F7_t322,FP1-F7,322,FP1-F7,ictal
FP1-F7_t323,FP1-F7_t323,FP1-F7,323,FP1-F7,ictal
FP1-F7_t324,FP1-F7_t324,FP1-F7,324,FP1-F7,ictal
FP1-F7_t325,FP1-F7_t325,FP1-F7,325,FP1-F7,ictal
FP1-F7_t326,FP1-F7_t326,FP1-F7,326,FP1-F7,ictal
FP1-F7_t327,FP1-F7_t327,FP1-F7,327,FP1-F7,ictal
FP1-F7_t328,FP1-F7_t328,FP1-F7,328,FP1-F7,ictal
FP1-F7_t329,FP1-F7_t329,FP1-F7,329,FP1-F7,ictal
FP1-F7_t330,FP1-F7_t330,FP1-F7,330,FP1-F7,ictal
FP1-F7_t331,FP1-F7_t331,FP1-F7,331,FP1-F7,ictal
FP1-F7_t332,FP1-F7_t332,FP1-F7,332,FP1-F7,ictal
FP1-F7_t333,FP1-F7_t333,FP1-F7,333,FP1-F7,ictal
FP1-F7_t334,FP1-F7_t334,FP1-F7,334,FP1-F7,ictal
FP1-F7_t335,FP1-F7_t335,FP1-F7,335,FP1-F7,ictal
FP1-F7_t336,FP1-F7_t336,FP1-F7,336,FP1-F7,ictal
FP1-F7_t337,FP1-F7_t337,FP1-F7,337,FP1-F7,ictal
FP1-F7_t338,FP1-F7_t338,FP1-F7,338,FP1-F7,ictal
FP1-F7_t339,FP1-F7_t339,FP1-F7,339,FP1-F7,ictal
FP1-F7_t340,FP1-F7_t340,FP1-F7,340,FP1-F7,ictal
FP1-F7_t341,FP1-F7_t341,FP1-F7,341,FP1-F7,ictal
FP1-F7_t342,FP1-F7_t342,FP1-F7,342,FP1-F7,ictal
FP1-F7_t343,FP1-F7_t343,FP1-F7,343,FP1-F7,ictal
FP1-F7_t344,FP1-F7_t344,FP1-F7,344,FP1-F7,ictal
FP1-F7_t345,FP1-F7_t345,FP1-F7,345,FP1-F7,ictal
FP1-F7_t346,FP1-F7_t346,FP1-F7,346,FP1-F7,ictal
FP1-F7_t347,FP1-F7_t347,FP1-F7,347,FP1-F7,ictal
