Id,Label,electrode,pattern,pattern_rank,layer,graph_label
F7-T7_ord_03214,F7-T7_ord_03214,F7-T7,03214,14,F7-T7,graph_interictal_chb01_10
F7-T7_ord_03412,F7-T7_ord_03412,F7-T7,03412,16,F7-T7,graph_interictal_chb01_10
F7-T7_ord_03421,F7-T7_ord_03421,F7-T7,03421,17,F7-T7,graph_interictal_chb01_10
F7-T7_ord_04123,F7-T7_ord_04123,F7-T7,04123,18,F7-T7,graph_interictal_chb01_10
F7-T7_ord_04132,F7-T7_ord_04132,F7-T7,04132,19,F7-T7,graph_interictal_chb01_10
F7-T7_ord_04312,F7-T7_ord_04312,F7-T7,04312,22,F7-T7,graph_interictal_chb01_10
F7-T7_ord_04321,F7-T7_ord_04321,F7-T7,04321,23,F7-T7,graph_interictal_chb01_10
F7-T7_ord_10234,F7-T7_ord_10234,F7-T7,10234,24,F7-T7,graph_interictal_chb01_10
F7-T7_ord_10243,F7-T7_ord_10243,F7-T7,10243,25,F7-T7,graph_interictal_chb01_10
F7-T7_ord_10423,F7-T7_ord_10423,F7-T7,10423,28,F7-T7,graph_interictal_chb01_10
F7-T7_ord_12034,F7-T7_ord_12034,F7-T7,12034,30,F7-T7,graph_interictal_chb01_10
F7-T7_ord_12043,F7-T7_ord_12043,F7-T7,12043,31,F7-T7,graph_interictal_chb01_10
F7-T7_ord_12304,F7-T7_ord_12304,F7-T7,12304,32,F7-T7,graph_interictal_chb01_10
F7-T7_ord_12340,F7-T7_ord_12340,F7-T7,12340,33,F7-T7,graph_interictal_chb01_10
F7-T7_ord_12403,F7-T7_ord_12403,F7-T7,12403,34,F7-T7,graph_interictal_chb01_10
F7-T7_ord_12430,F7-T7_ord_12430,F7-T7,12430,35,F7-T7,graph_interictal_chb01_10
F7-T7_ord_14023,F7-T7_ord_14023,F7-T7,14023,42,F7-T7,graph_interictal_chb01_10
F7-T7_ord_14230,F7-T7_ord_14230,F7-T7,14230,45,F7-T7,graph_interictal_chb01_10
F7-T7_ord_20134,F7-T7_ord_20134,F7-T7,20134,48,F7-T7,graph_interictal_chb01_10
F7-T7_ord_21034,F7-T7_ord_21034,F7-T7,21034,54,F7-T7,graph_interictal_chb01_10
F7-T7_ord_21304,F7-T7_ord_21304,F7-T7,21304,56,F7-T7,graph_interictal_chb01_10
F7-T7_ord_21340,F7-T7_ord_21340,F7-T7,21340,57,F7-T7,graph_interictal_chb01_10
F7-T7_ord_21430,F7-T7_ord_21430,F7-T7,21430,59,F7-T7,graph_interictal_chb01_10
F7-T7_ord_23014,F7-T7_ord_23014,F7-T7,23014,60,F7-T7,graph_interictal_chb01_10
F7-T7_ord_23104,F7-T7_ord_23104,F7-T7,23104,62,F7-T7,graph_interictal_chb01_10
F7-T7_ord_23140,F7-T7_ord_23140,F7-T7,23140,63,F7-T7,graph_interictal_chb01_10
F7-T7_ord_23410,F7-T7_ord_23410,F7-T7,23410,65,F7-T7,graph_interictal_chb01_10
F7-T7_ord_24130,F7-T7_ord_24130,F7-T7,24130,69,F7-T7,graph_interictal_chb01_10
F7-T7_ord_24310,F7-T7_ord_24310,F7-T7,24310,71,F7-T7,graph_interictal_chb01_10
F7-T7_ord_30214,F7-T7_ord_30214,F7-T7,30214,74,F7-T7,graph_interictal_chb01_10
F7-T7_ord_30241,F7-T7_ord_30241,F7-T7,30241,75,F7-T7,graph_interictal_chb01_10
F7-T7_ord_30421,F7-T7_ord_30421,F7-T7,30421,77,F7-T7,graph_interictal_chb01_10
F7-T7_ord_32014,F7-T7_ord_32014,F7-T7,32014,84,F7-T7,graph_interictal_chb01_10
F7-T7_ord_32041,F7-T7_ord_32041,F7-T7,32041,85,F7-T7,graph_interictal_chb01_10
F7-T7_ord_32104,F7-T7_ord_32104,F7-T7,32104,86,F7-T7,graph_interictal_chb01_10
F7-T7_ord_32140,F7-T7_ord_32140,F7-T7,32140,87,F7-T7,graph_interictal_chb01_10
F7-T7_ord_32401,F7-T7_ord_32401,F7-T7,32401,88,F7-T7,graph_interictal_chb01_10
F7-T7_ord_32410,F7-T7_ord_32410,F7-T7,32410,89,F7-T7,graph_interictal_chb01_10
F7-T7_ord_34021,F7-T7_ord_34021,F7-T7,34021,91,F7-T7,graph_interictal_chb01_10
F7-T7_ord_34201,F7-T7_ord_34201,F7-T7,34201,94,F7-T7,graph_interictal_chb01_10
F7-T7_ord_34210,F7-T7_ord_34210,F7-T7,34210,95,F7-T7,graph_interictal_chb01_10
F7-T7_ord_40123,F7-T7_ord_40123,F7-T7,40123,96,F7-T7,graph_interictal_chb01_10
F7-T7_ord_40132,F7-T7_ord_40132,F7-T7,40132,97,F7-T7,graph_interictal_chb01_10
F7-T7_ord_40312,F7-T7_ord_40312,F7-T7,40312,100,F7-T7,graph_interictal_chb01_10
F7-T7_ord_40321,F7-T7_ord_40321,F7-T7,40321,101,F7-T7,graph_interictal_chb01_10
F7-T7_ord_41023,F7-T7_ord_41023,F7-T7,41023,102,F7-T7,graph_interictal_chb01_10
F7-T7_ord_41032,F7-T7_ord_41032,F7-T7,41032,103,F7-T7,graph_interictal_chb01_10
F7-T7_ord_41230,F7-T7_ord_41230,F7-T7,41230,105,F7-T7,graph_interictal_chb01_10
F7-T7_ord_41302,F7-T7_ord_41302,F7-T7,41302,106,F7-T7,graph_interictal_chb01_10
F7-T7_ord_41320,F7-T7_ord_41320,F7-T7,41320,107,F7-T7,graph_interictal_chb01_10
F7-T7_ord_42130,F7-T7_ord_42130,F7-T7,42130,111,F7-T7,graph_interictal_chb01_10
F7-T7_ord_42310,F7-T7_ord_42310,F7-T7,42310,113,F7-T7,graph_interictal_chb01_10
F7-T7_ord_43012,F7-T7_ord_43012,F7-T7,43012,114,F7-T7,graph_interictal_chb01_10
F7-T7_ord_43021,F7-T7_ord_43021,F7-T7,43021,115,F7-T7,graph_interictal_chb01_10
F7-T7_ord_43102,F7-T7_ord_43102,F7-T7,43102,116,F7-T7,graph_interictal_chb01_10
F7-T7_ord_43120,F7-T7_ord_43120,F7-T7,43120,117,F7-T7,graph_interictal_chb01_10
F7-T7_ord_43201,F7-T7_ord_43201,F7-T7,43201,118,F7-T7,graph_interictal_chb01_10
F7-T7_ord_43210,F7-T7_ord_43210,F7-T7,43210,119,F7-T7,graph_interictal_chb01_10
T7-P7_ord_01234,T7-P7_ord_01234,T7-P7,01234,0,T7-P7,graph_interictal_chb01_10
T7-P7_ord_01243,T7-P7_ord_01243,T7-P7,01243,1,T7-P7,graph_interictal_chb01_10
T7-P7_ord_01324,T7-P7_ord_01324,T7-P7,01324,2,T7-P7,graph_interictal_chb01_10
T7-P7_ord_01342,T7-P7_ord_01342,T7-P7,01342,3,T7-P7,graph_interictal_chb01_10
T7-P7_ord_01423,T7-P7_ord_01423,T7-P7,01423,4,T7-P7,graph_interictal_chb01_10
T7-P7_ord_01432,T7-P7_ord_01432,T7-P7,01432,5,T7-P7,graph_interictal_chb01_10
T7-P7_ord_02134,T7-P7_ord_02134,T7-P7,02134,6,T7-P7,graph_interictal_chb01_10
T7-P7_ord_02143,T7-P7_ord_02143,T7-P7,02143,7,T7-P7,graph_interictal_chb01_10
T7-P7_ord_02314,T7-P7_ord_02314,T7-P7,02314,8,T7-P7,graph_interictal_chb01_10
T7-P7_ord_03142,T7-P7_ord_03142,T7-P7,03142,13,T7-P7,graph_interictal_chb01_10
T7-P7_ord_03214,T7-P7_ord_03214,T7-P7,03214,14,T7-P7,graph_interictal_chb01_10
T7-P7_ord_03412,T7-P7_ord_03412,T7-P7,03412,16,T7-P7,graph_interictal_chb01_10
T7-P7_ord_03421,T7-P7_ord_03421,T7-P7,03421,17,T7-P7,graph_interictal_chb01_10
T7-P7_ord_04123,T7-P7_ord_04123,T7-P7,04123,18,T7-P7,graph_interictal_chb01_10
T7-P7_ord_04132,T7-P7_ord_04132,T7-P7,04132,19,T7-P7,graph_interictal_chb01_10
T7-P7_ord_04312,T7-P7_ord_04312,T7-P7,04312,22,T7-P7,graph_interictal_chb01_10
T7-P7_ord_04321,T7-P7_ord_04321,T7-P7,04321,23,T7-P7,graph_interictal_chb01_10
T7-P7_ord_10234,T7-P7_ord_10234,T7-P7,10234,24,T7-P7,graph_interictal_chb01_10
T7-P7_ord_10243,T7-P7_ord_10243,T7-P7,10243,25,T7-P7,graph_interictal_chb01_10
T7-P7_ord_10423,T7-P7_ord_10423,T7-P7,10423,28,T7-P7,graph_interictal_chb01_10
T7-P7_ord_12034,T7-P7_ord_12034,T7-P7,12034,30,T7-P7,graph_interictal_chb01_10
T7-P7_ord_12043,T7-P7_ord_12043,T7-P7,12043,31,T7-P7,graph_interictal_chb01_10
T7-P7_ord_12304,T7-P7_ord_12304,T7-P7,12304,32,T7-P7,graph_interictal_chb01_10
T7-P7_ord_12403,T7-P7_ord_12403,T7-P7,12403,34,T7-P7,graph_interictal_chb01_10
T7-P7_ord_12430,T7-P7_ord_12430,T7-P7,12430,35,T7-P7,graph_interictal_chb01_10
T7-P7_ord_14023,T7-P7_ord_14023,T7-P7,14023,42,T7-P7,graph_interictal_chb01_10
T7-P7_ord_14230,T7-P7_ord_14230,T7-P7,14230,45,T7-P7,graph_interictal_chb01_10
T7-P7_ord_20314,T7-P7_ord_20314,T7-P7,20314,50,T7-P7,graph_interictal_chb01_10
T7-P7_ord_21034,T7-P7_ord_21034,T7-P7,21034,54,T7-P7,graph_interictal_chb01_10
T7-P7_ord_21304,T7-P7_ord_21304,T7-P7,21304,56,T7-P7,graph_interictal_chb01_10
T7-P7_ord_21340,T7-P7_ord_21340,T7-P7,21340,57,T7-P7,graph_interictal_chb01_10
T7-P7_ord_21430,T7-P7_ord_21430,T7-P7,21430,59,T7-P7,graph_interictal_chb01_10
T7-P7_ord_23014,T7-P7_ord_23014,T7-P7,23014,60,T7-P7,graph_interictal_chb01_10
T7-P7_ord_23104,T7-P7_ord_23104,T7-P7,23104,62,T7-P7,graph_interictal_chb01_10
T7-P7_ord_23140,T7-P7_ord_23140,T7-P7,23140,63,T7-P7,graph_interictal_chb01_10
T7-P7_ord_23410,T7-P7_ord_23410,T7-P7,23410,65,T7-P7,graph_interictal_chb01_10
T7-P7_ord_24310,T7-P7_ord_24310,T7-P7,24310,71,T7-P7,graph_interictal_chb01_10
T7-P7_ord_30241,T7-P7_ord_30241,T7-P7,30241,75,T7-P7,graph_interictal_chb01_10
T7-P7_ord_32014,T7-P7_ord_32014,T7-P7,32014,84,T7-P7,graph_interictal_chb01_10
T7-P7_ord_32041,T7-P7_ord_32041,T7-P7,32041,85,T7-P7,graph_interictal_chb01_10
T7-P7_ord_32104,T7-P7_ord_32104,T7-P7,32104,86,T7-P7,graph_interictal_chb01_10
T7-P7_ord_32140,T7-P7_ord_32140,T7-P7,32140,87,T7-P7,graph_interictal_chb01_10
T7-P7_ord_32401,T7-P7_ord_32401,T7-P7,32401,88,T7-P7,graph_interictal_chb01_10
T7-P7_ord_32410,T7-P7_ord_32410,T7-P7,32410,89,T7-P7,graph_interictal_chb01_10
T7-P7_ord_34021,T7-P7_ord_34021,T7-P7,34021,91,T7-P7,graph_interictal_chb01_10
T7-P7_ord_34201,T7-P7_ord_34201,T7-P7,34201,94,T7-P7,graph_interictal_chb01_10
T7-P7_ord_34210,T7-P7_ord_34210,T7-P7,34210,95,T7-P7,graph_interictal_chb01_10
T7-P7_ord_40132,T7-P7_ord_40132,T7-P7,40132,97,T7-P7,graph_interictal_chb01_10
T7-P7_ord_40312,T7-P7_ord_40312,T7-P7,40312,100,T7-P7,graph_interictal_chb01_10
T7-P7_ord_40321,T7-P7_ord_40321,T7-P7,40321,101,T7-P7,graph_interictal_chb01_10
T7-P7_ord_41023,T7-P7_ord_41023,T7-P7,41023,102,T7-P7,graph_interictal_chb01_10
T7-P7_ord_41032,T7-P7_ord_41032,T7-P7,41032,103,T7-P7,graph_interictal_chb01_10
T7-P7_ord_41203,T7-P7_ord_41203,T7-P7,41203,104,T7-P7,graph_interictal_chb01_10
T7-P7_ord_41230,T7-P7_ord_41230,T7-P7,41230,105,T7-P7,graph_interictal_chb01_10
T7-P7_ord_41320,T7-P7_ord_41320,T7-P7,41320,107,T7-P7,graph_interictal_chb01_10
T7-P7_ord_42130,T7-P7_ord_42130,T7-P7,42130,111,T7-P7,graph_interictal_chb01_10
T7-P7_ord_42310,T7-P7_ord_42310,T7-P7,42310,113,T7-P7,graph_interictal_chb01_10
T7-P7_ord_43012,T7-P7_ord_43012,T7-P7,43012,114,T7-P7,graph_interictal_chb01_10
T7-P7_ord_43021,T7-P7_ord_43021,T7-P7,43021,115,T7-P7,graph_interictal_chb01_10
T7-P7_ord_43102,T7-P7_ord_43102,T7-P7,43102,116,T7-P7,graph_interictal_chb01_10
T7-P7_ord_43120,T7-P7_ord_43120,T7-P7,43120,117,T7-P7,graph_interictal_chb01_10
T7-P7_ord_43201,T7-P7_ord_43201,T7-P7,43201,118,T7-P7,graph_interictal_chb01_10
T7-P7_ord_43210,T7-P7_ord_43210,T7-P7,43210,119,T7-P7,graph_interictal_chb01_10
P7-O1_ord_01234,P7-O1_ord_01234,P7-O1,01234,0,P7-O1,graph_interictal_chb01_10
P7-O1_ord_01243,P7-O1_ord_01243,P7-O1,01243,1,P7-O1,graph_interictal_chb01_10
P7-O1_ord_01324,P7-O1_ord_01324,P7-O1,01324,2,P7-O1,graph_interictal_chb01_10
P7-O1_ord_01342,P7-O1_ord_01342,P7-O1,01342,3,P7-O1,graph_interictal_chb01_10
P7-O1_ord_01423,P7-O1_ord_01423,P7-O1,01423,4,P7-O1,graph_interictal_chb01_10
P7-O1_ord_01432,P7-O1_ord_01432,P7-O1,01432,5,P7-O1,graph_interictal_chb01_10
P7-O1_ord_02134,P7-O1_ord_02134,P7-O1,02134,6,P7-O1,graph_interictal_chb01_10
P7-O1_ord_02314,P7-O1_ord_02314,P7-O1,02314,8,P7-O1,graph_interictal_chb01_10
P7-O1_ord_03124,P7-O1_ord_03124,P7-O1,03124,12,P7-O1,graph_interictal_chb01_10
P7-O1_ord_03142,P7-O1_ord_03142,P7-O1,03142,13,P7-O1,graph_interictal_chb01_10
P7-O1_ord_03214,P7-O1_ord_03214,P7-O1,03214,14,P7-O1,graph_interictal_chb01_10
P7-O1_ord_03241,P7-O1_ord_03241,P7-O1,03241,15,P7-O1,graph_interictal_chb01_10
P7-O1_ord_03412,P7-O1_ord_03412,P7-O1,03412,16,P7-O1,graph_interictal_chb01_10
P7-O1_ord_03421,P7-O1_ord_03421,P7-O1,03421,17,P7-O1,graph_interictal_chb01_10
P7-O1_ord_04123,P7-O1_ord_04123,P7-O1,04123,18,P7-O1,graph_interictal_chb01_10
P7-O1_ord_04132,P7-O1_ord_04132,P7-O1,04132,19,P7-O1,graph_interictal_chb01_10
P7-O1_ord_04231,P7-O1_ord_04231,P7-O1,04231,21,P7-O1,graph_interictal_chb01_10
P7-O1_ord_04312,P7-O1_ord_04312,P7-O1,04312,22,P7-O1,graph_interictal_chb01_10
P7-O1_ord_04321,P7-O1_ord_04321,P7-O1,04321,23,P7-O1,graph_interictal_chb01_10
P7-O1_ord_10234,P7-O1_ord_10234,P7-O1,10234,24,P7-O1,graph_interictal_chb01_10
P7-O1_ord_10243,P7-O1_ord_10243,P7-O1,10243,25,P7-O1,graph_interictal_chb01_10
P7-O1_ord_10423,P7-O1_ord_10423,P7-O1,10423,28,P7-O1,graph_interictal_chb01_10
P7-O1_ord_12034,P7-O1_ord_12034,P7-O1,12034,30,P7-O1,graph_interictal_chb01_10
P7-O1_ord_12043,P7-O1_ord_12043,P7-O1,12043,31,P7-O1,graph_interictal_chb01_10
P7-O1_ord_12304,P7-O1_ord_12304,P7-O1,12304,32,P7-O1,graph_interictal_chb01_10
P7-O1_ord_12340,P7-O1_ord_12340,P7-O1,12340,33,P7-O1,graph_interictal_chb01_10
P7-O1_ord_12403,P7-O1_ord_12403,P7-O1,12403,34,P7-O1,graph_interictal_chb01_10
P7-O1_ord_12430,P7-O1_ord_12430,P7-O1,12430,35,P7-O1,graph_interictal_chb01_10
P7-O1_ord_14023,P7-O1_ord_14023,P7-O1,14023,42,P7-O1,graph_interictal_chb01_10
P7-O1_ord_14230,P7-O1_ord_14230,P7-O1,14230,45,P7-O1,graph_interictal_chb01_10
P7-O1_ord_20134,P7-O1_ord_20134,P7-O1,20134,48,P7-O1,graph_interictal_chb01_10
P7-O1_ord_20314,P7-O1_ord_20314,P7-O1,20314,50,P7-O1,graph_interictal_chb01_10
P7-O1_ord_21034,P7-O1_ord_21034,P7-O1,21034,54,P7-O1,graph_interictal_chb01_10
P7-O1_ord_21304,P7-O1_ord_21304,P7-O1,21304,56,P7-O1,graph_interictal_chb01_10
P7-O1_ord_21340,P7-O1_ord_21340,P7-O1,21340,57,P7-O1,graph_interictal_chb01_10
P7-O1_ord_21430,P7-O1_ord_21430,P7-O1,21430,59,P7-O1,graph_interictal_chb01_10
P7-O1_ord_23014,P7-O1_ord_23014,P7-O1,23014,60,P7-O1,graph_interictal_chb01_10
P7-O1_ord_23104,P7-O1_ord_23104,P7-O1,23104,62,P7-O1,graph_interictal_chb01_10
P7-O1_ord_23140,P7-O1_ord_23140,P7-O1,23140,63,P7-O1,graph_interictal_chb01_10
P7-O1_ord_23410,P7-O1_ord_23410,P7-O1,23410,65,P7-O1,graph_interictal_chb01_10
P7-O1_ord_24130,P7-O1_ord_24130,P7-O1,24130,69,P7-O1,graph_interictal_chb01_10
P7-O1_ord_24310,P7-O1_ord_24310,P7-O1,24310,71,P7-O1,graph_interictal_chb01_10
P7-O1_ord_30421,P7-O1_ord_30421,P7-O1,30421,77,P7-O1,graph_interictal_chb01_10
P7-O1_ord_32014,P7-O1_ord_32014,P7-O1,32014,84,P7-O1,graph_interictal_chb01_10
P7-O1_ord_32041,P7-O1_ord_32041,P7-O1,32041,85,P7-O1,graph_interictal_chb01_10
P7-O1_ord_32104,P7-O1_ord_32104,P7-O1,32104,86,P7-O1,graph_interictal_chb01_10
P7-O1_ord_32140,P7-O1_ord_32140,P7-O1,32140,87,P7-O1,graph_interictal_chb01_10
P7-O1_ord_32401,P7-O1_ord_32401,P7-O1,32401,88,P7-O1,graph_interictal_chb01_10
P7-O1_ord_32410,P7-O1_ord_32410,P7-O1,32410,89,P7-O1,graph_interictal_chb01_10
P7-O1_ord_34021,P7-O1_ord_34021,P7-O1,34021,91,P7-O1,graph_interictal_chb01_10
P7-O1_ord_34201,P7-O1_ord_34201,P7-O1,34201,94,P7-O1,graph_interictal_chb01_10
P7-O1_ord_34210,P7-O1_ord_34210,P7-O1,34210,95,P7-O1,graph_interictal_chb01_10
P7-O1_ord_40123,P7-O1_ord_40123,P7-O1,40123,96,P7-O1,graph_interictal_chb01_10
P7-O1_ord_40132,P7-O1_ord_40132,P7-O1,40132,97,P7-O1,graph_interictal_chb01_10
P7-O1_ord_40312,P7-O1_ord_40312,P7-O1,40312,100,P7-O1,graph_interictal_chb01_10
P7-O1_ord_40321,P7-O1_ord_40321,P7-O1,40321,101,P7-O1,graph_interictal_chb01_10
