Source,Target,source_label,target_label,edge_type,layer,weight
FP1-F7_ord_12340,FP1-F7_ord_01423,FP1-F7_ord_12340,FP1-F7_ord_01423,intra,FP1-F7,1.0
FP1-F7_ord_23140,FP1-F7_ord_12403,FP1-F7_ord_23140,FP1-F7_ord_12403,intra,FP1-F7,1.0
FP1-F7_ord_12403,FP1-F7_ord_40132,FP1-F7_ord_12403,FP1-F7_ord_40132,intra,FP1-F7,1.0
FP1-F7_ord_23410,FP1-F7_ord_41230,FP1-F7_ord_23410,FP1-F7_ord_41230,intra,FP1-F7,2.0
FP1-F7_ord_41230,FP1-F7_ord_43012,FP1-F7_ord_41230,FP1-F7_ord_43012,intra,FP1-F7,2.0
FP1-F7_ord_32410,FP1-F7_ord_42130,FP1-F7_ord_32410,FP1-F7_ord_42130,intra,FP1-F7,1.0
FP1-F7_ord_42130,FP1-F7_ord_43102,FP1-F7_ord_42130,FP1-F7_ord_43102,intra,FP1-F7,1.0
FP1-F7_ord_43102,FP1-F7_ord_43201,FP1-F7_ord_43102,FP1-F7_ord_43201,intra,FP1-F7,1.0
FP1-F7_ord_01234,FP1-F7_ord_40123,FP1-F7_ord_01234,FP1-F7_ord_40123,intra,FP1-F7,1.0
FP1-F7_ord_12340,FP1-F7_ord_40123,FP1-F7_ord_12340,FP1-F7_ord_40123,intra,FP1-F7,2.0
FP1-F7_ord_12034,FP1-F7_ord_40123,FP1-F7_ord_12034,FP1-F7_ord_40123,intra,FP1-F7,1.0
FP1-F7_ord_01432,FP1-F7_ord_04321,FP1-F7_ord_01432,FP1-F7_ord_04321,intra,FP1-F7,3.0
FP1-F7_ord_04321,FP1-F7_ord_34210,FP1-F7_ord_04321,FP1-F7_ord_34210,intra,FP1-F7,2.0
FP1-F7_ord_40321,FP1-F7_ord_32410,FP1-F7_ord_40321,FP1-F7_ord_32410,intra,FP1-F7,1.0
FP1-F7_ord_12304,FP1-F7_ord_01423,FP1-F7_ord_12304,FP1-F7_ord_01423,intra,FP1-F7,2.0
FP1-F7_ord_23410,FP1-F7_ord_14230,FP1-F7_ord_23410,FP1-F7_ord_14230,intra,FP1-F7,1.0
FP1-F7_ord_14230,FP1-F7_ord_40312,FP1-F7_ord_14230,FP1-F7_ord_40312,intra,FP1-F7,1.0
FP1-F7_ord_04321,FP1-F7_ord_32410,FP1-F7_ord_04321,FP1-F7_ord_32410,intra,FP1-F7,1.0
FP1-F7_ord_21340,FP1-F7_ord_41023,FP1-F7_ord_21340,FP1-F7_ord_41023,intra,FP1-F7,6.0
FP1-F7_ord_41023,FP1-F7_ord_43012,FP1-F7_ord_41023,FP1-F7_ord_43012,intra,FP1-F7,6.0
FP1-F7_ord_43012,FP1-F7_ord_32401,FP1-F7_ord_43012,FP1-F7_ord_32401,intra,FP1-F7,2.0
FP1-F7_ord_23140,FP1-F7_ord_41203,FP1-F7_ord_23140,FP1-F7_ord_41203,intra,FP1-F7,1.0
FP1-F7_ord_41203,FP1-F7_ord_43012,FP1-F7_ord_41203,FP1-F7_ord_43012,intra,FP1-F7,1.0
FP1-F7_ord_43201,FP1-F7_ord_32104,FP1-F7_ord_43201,FP1-F7_ord_32104,intra,FP1-F7,1.0
FP1-F7_ord_04132,FP1-F7_ord_30241,FP1-F7_ord_04132,FP1-F7_ord_30241,intra,FP1-F7,1.0
FP1-F7_ord_30241,FP1-F7_ord_21304,FP1-F7_ord_30241,FP1-F7_ord_21304,intra,FP1-F7,1.0
FP1-F7_ord_40312,FP1-F7_ord_32401,FP1-F7_ord_40312,FP1-F7_ord_32401,intra,FP1-F7,1.0
FP1-F7_ord_03214,FP1-F7_ord_24103,FP1-F7_ord_03214,FP1-F7_ord_24103,intra,FP1-F7,1.0
FP1-F7_ord_24103,FP1-F7_ord_41302,FP1-F7_ord_24103,FP1-F7_ord_41302,intra,FP1-F7,1.0
FP1-F7_ord_41302,FP1-F7_ord_43021,FP1-F7_ord_41302,FP1-F7_ord_43021,intra,FP1-F7,1.0
FP1-F7_ord_12034,FP1-F7_ord_04123,FP1-F7_ord_12034,FP1-F7_ord_04123,intra,FP1-F7,1.0
F7-T7_ord_43021,F7-T7_ord_43210,F7-T7_ord_43021,F7-T7_ord_43210,intra,F7-T7,51.0
F7-T7_ord_43210,F7-T7_ord_43210,F7-T7_ord_43210,F7-T7_ord_43210,intra,F7-T7,529.0
F7-T7_ord_43210,F7-T7_ord_34210,F7-T7_ord_43210,F7-T7_ord_34210,intra,F7-T7,57.0
F7-T7_ord_34210,F7-T7_ord_42310,F7-T7_ord_34210,F7-T7_ord_42310,intra,F7-T7,9.0
F7-T7_ord_42310,F7-T7_ord_43120,F7-T7_ord_42310,F7-T7_ord_43120,intra,F7-T7,9.0
F7-T7_ord_43120,F7-T7_ord_43201,F7-T7_ord_43120,F7-T7_ord_43201,intra,F7-T7,9.0
F7-T7_ord_43201,F7-T7_ord_43210,F7-T7_ord_43201,F7-T7_ord_43210,intra,F7-T7,64.0
F7-T7_ord_43210,F7-T7_ord_32410,F7-T7_ord_43210,F7-T7_ord_32410,intra,F7-T7,53.0
F7-T7_ord_32410,F7-T7_ord_21340,F7-T7_ord_32410,F7-T7_ord_21340,intra,F7-T7,25.0
F7-T7_ord_21340,F7-T7_ord_10243,F7-T7_ord_21340,F7-T7_ord_10243,intra,F7-T7,7.0
F7-T7_ord_10243,F7-T7_ord_40132,F7-T7_ord_10243,F7-T7_ord_40132,intra,F7-T7,6.0
F7-T7_ord_40132,F7-T7_ord_43021,F7-T7_ord_40132,F7-T7_ord_43021,intra,F7-T7,17.0
F7-T7_ord_43021,F7-T7_ord_32140,F7-T7_ord_43021,F7-T7_ord_32140,intra,F7-T7,2.0
F7-T7_ord_32140,F7-T7_ord_21034,F7-T7_ord_32140,F7-T7_ord_21034,intra,F7-T7,13.0
F7-T7_ord_21034,F7-T7_ord_10234,F7-T7_ord_21034,F7-T7_ord_10234,intra,F7-T7,26.0
F7-T7_ord_10234,F7-T7_ord_01234,F7-T7_ord_10234,F7-T7_ord_01234,intra,F7-T7,57.0
F7-T7_ord_01234,F7-T7_ord_01234,F7-T7_ord_01234,F7-T7_ord_01234,intra,F7-T7,501.0
F7-T7_ord_01234,F7-T7_ord_01243,F7-T7_ord_01234,F7-T7_ord_01243,intra,F7-T7,50.0
F7-T7_ord_01243,F7-T7_ord_04132,F7-T7_ord_01243,F7-T7_ord_04132,intra,F7-T7,53.0
F7-T7_ord_04132,F7-T7_ord_43021,F7-T7_ord_04132,F7-T7_ord_43021,intra,F7-T7,57.0
F7-T7_ord_32410,F7-T7_ord_21304,F7-T7_ord_32410,F7-T7_ord_21304,intra,F7-T7,45.0
F7-T7_ord_21304,F7-T7_ord_10234,F7-T7_ord_21304,F7-T7_ord_10234,intra,F7-T7,41.0
F7-T7_ord_01243,F7-T7_ord_01342,F7-T7_ord_01243,F7-T7_ord_01342,intra,F7-T7,4.0
F7-T7_ord_01342,F7-T7_ord_02314,F7-T7_ord_01342,F7-T7_ord_02314,intra,F7-T7,4.0
F7-T7_ord_02314,F7-T7_ord_12034,F7-T7_ord_02314,F7-T7_ord_12034,intra,F7-T7,4.0
F7-T7_ord_12034,F7-T7_ord_01234,F7-T7_ord_12034,F7-T7_ord_01234,intra,F7-T7,66.0
F7-T7_ord_01234,F7-T7_ord_01423,F7-T7_ord_01234,F7-T7_ord_01423,intra,F7-T7,73.0
F7-T7_ord_01423,F7-T7_ord_04312,F7-T7_ord_01423,F7-T7_ord_04312,intra,F7-T7,27.0
F7-T7_ord_04312,F7-T7_ord_34201,F7-T7_ord_04312,F7-T7_ord_34201,intra,F7-T7,6.0
F7-T7_ord_34201,F7-T7_ord_23104,F7-T7_ord_34201,F7-T7_ord_23104,intra,F7-T7,7.0
F7-T7_ord_23104,F7-T7_ord_12034,F7-T7_ord_23104,F7-T7_ord_12034,intra,F7-T7,21.0
F7-T7_ord_01243,F7-T7_ord_01324,F7-T7_ord_01243,F7-T7_ord_01324,intra,F7-T7,5.0
F7-T7_ord_01324,F7-T7_ord_02134,F7-T7_ord_01324,F7-T7_ord_02134,intra,F7-T7,6.0
F7-T7_ord_02134,F7-T7_ord_10234,F7-T7_ord_02134,F7-T7_ord_10234,intra,F7-T7,6.0
F7-T7_ord_01423,F7-T7_ord_03412,F7-T7_ord_01423,F7-T7_ord_03412,intra,F7-T7,2.0
F7-T7_ord_03412,F7-T7_ord_23014,F7-T7_ord_03412,F7-T7_ord_23014,intra,F7-T7,2.0
F7-T7_ord_23014,F7-T7_ord_12034,F7-T7_ord_23014,F7-T7_ord_12034,intra,F7-T7,2.0
F7-T7_ord_01423,F7-T7_ord_40312,F7-T7_ord_01423,F7-T7_ord_40312,intra,F7-T7,56.0
F7-T7_ord_40312,F7-T7_ord_43201,F7-T7_ord_40312,F7-T7_ord_43201,intra,F7-T7,55.0
F7-T7_ord_34210,F7-T7_ord_23140,F7-T7_ord_34210,F7-T7_ord_23140,intra,F7-T7,56.0
F7-T7_ord_23140,F7-T7_ord_12403,F7-T7_ord_23140,F7-T7_ord_12403,intra,F7-T7,2.0
F7-T7_ord_12403,F7-T7_ord_40132,F7-T7_ord_12403,F7-T7_ord_40132,intra,F7-T7,1.0
F7-T7_ord_40132,F7-T7_ord_34021,F7-T7_ord_40132,F7-T7_ord_34021,intra,F7-T7,2.0
F7-T7_ord_34021,F7-T7_ord_23104,F7-T7_ord_34021,F7-T7_ord_23104,intra,F7-T7,4.0
F7-T7_ord_43210,F7-T7_ord_32140,F7-T7_ord_43210,F7-T7_ord_32140,intra,F7-T7,6.0
F7-T7_ord_01243,F7-T7_ord_01432,F7-T7_ord_01243,F7-T7_ord_01432,intra,F7-T7,8.0
F7-T7_ord_01432,F7-T7_ord_40321,F7-T7_ord_01432,F7-T7_ord_40321,intra,F7-T7,3.0
F7-T7_ord_40321,F7-T7_ord_43210,F7-T7_ord_40321,F7-T7_ord_43210,intra,F7-T7,2.0
F7-T7_ord_21340,F7-T7_ord_14023,F7-T7_ord_21340,F7-T7_ord_14023,intra,F7-T7,3.0
F7-T7_ord_14023,F7-T7_ord_40312,F7-T7_ord_14023,F7-T7_ord_40312,intra,F7-T7,3.0
F7-T7_ord_23140,F7-T7_ord_12034,F7-T7_ord_23140,F7-T7_ord_12034,intra,F7-T7,56.0
F7-T7_ord_10243,F7-T7_ord_01432,F7-T7_ord_10243,F7-T7_ord_01432,intra,F7-T7,3.0
F7-T7_ord_01432,F7-T7_ord_04321,F7-T7_ord_01432,F7-T7_ord_04321,intra,F7-T7,3.0
F7-T7_ord_04321,F7-T7_ord_32104,F7-T7_ord_04321,F7-T7_ord_32104,intra,F7-T7,2.0
F7-T7_ord_32104,F7-T7_ord_21034,F7-T7_ord_32104,F7-T7_ord_21034,intra,F7-T7,4.0
F7-T7_ord_43201,F7-T7_ord_32140,F7-T7_ord_43201,F7-T7_ord_32140,intra,F7-T7,5.0
F7-T7_ord_04312,F7-T7_ord_43201,F7-T7_ord_04312,F7-T7_ord_43201,intra,F7-T7,12.0
F7-T7_ord_12403,F7-T7_ord_04132,F7-T7_ord_12403,F7-T7_ord_04132,intra,F7-T7,1.0
F7-T7_ord_40321,F7-T7_ord_34210,F7-T7_ord_40321,F7-T7_ord_34210,intra,F7-T7,1.0
F7-T7_ord_23140,F7-T7_ord_12043,F7-T7_ord_23140,F7-T7_ord_12043,intra,F7-T7,3.0
F7-T7_ord_12043,F7-T7_ord_04132,F7-T7_ord_12043,F7-T7_ord_04132,intra,F7-T7,2.0
F7-T7_ord_43021,F7-T7_ord_34210,F7-T7_ord_43021,F7-T7_ord_34210,intra,F7-T7,17.0
F7-T7_ord_34210,F7-T7_ord_23410,F7-T7_ord_34210,F7-T7_ord_23410,intra,F7-T7,23.0
F7-T7_ord_23410,F7-T7_ord_12304,F7-T7_ord_23410,F7-T7_ord_12304,intra,F7-T7,8.0
F7-T7_ord_12304,F7-T7_ord_01234,F7-T7_ord_12304,F7-T7_ord_01234,intra,F7-T7,4.0
F7-T7_ord_04312,F7-T7_ord_32014,F7-T7_ord_04312,F7-T7_ord_32014,intra,F7-T7,4.0
F7-T7_ord_32014,F7-T7_ord_21034,F7-T7_ord_32014,F7-T7_ord_21034,intra,F7-T7,5.0
F7-T7_ord_21340,F7-T7_ord_10234,F7-T7_ord_21340,F7-T7_ord_10234,intra,F7-T7,7.0
F7-T7_ord_10234,F7-T7_ord_01243,F7-T7_ord_10234,F7-T7_ord_01243,intra,F7-T7,13.0
F7-T7_ord_23410,F7-T7_ord_41230,F7-T7_ord_23410,F7-T7_ord_41230,intra,F7-T7,5.0
F7-T7_ord_41230,F7-T7_ord_43012,F7-T7_ord_41230,F7-T7_ord_43012,intra,F7-T7,5.0
F7-T7_ord_43012,F7-T7_ord_43201,F7-T7_ord_43012,F7-T7_ord_43201,intra,F7-T7,24.0
